,Samples,Temperature (K),B,at,k1 104/ (dm 1.5 mol 0.5 sec 1),k2104/ (dm4 4.5 mol 1.5 sec-1,R$,Vectors,Ref
0,DBA/FGE,373.2,1.45,0.907,1.58,3.06,0.9905,"['DBA', 'FGE']",0014-3057(87)90166-2_5_0
1,,,2.2,0.901,1.4,3.0,0.9971,[''],0014-3057(87)90166-2_5_0
2,,383.2,1.14,0.908,3.05,4.8,0.9991,[''],0014-3057(87)90166-2_5_0
3,,,1.2,0.906,2.95,5.08,0.9997,[''],0014-3057(87)90166-2_5_0
4,,,1.45,0.908,2.86,4.72,0.9998,[''],0014-3057(87)90166-2_5_0
5,,,1.92,0.904,2.36,5.04,0.999,[''],0014-3057(87)90166-2_5_0
6,,,2.18,0.907,1.98,4.99,0.9974,[''],0014-3057(87)90166-2_5_0
7,,,2.92,0.906,1.76,5.08,0.9926,[''],0014-3057(87)90166-2_5_0
8,,393.2,1.07,0.88,4.48,9.79,0.9793,[''],0014-3057(87)90166-2_5_0
9,,,1.3,0.9,4.71,7.3,0.9997,[''],0014-3057(87)90166-2_5_0
10,,,1.78,0.912,4.06,6.55,0.9994,[''],0014-3057(87)90166-2_5_0
11,,,2.18,0.883,4.35,7.22,0.9959,[''],0014-3057(87)90166-2_5_0
12,,,2.99,0.978,2.4,8.02,0.9897,[''],0014-3057(87)90166-2_5_0
13,DBA/MGA,423.2,1.14,0.816,4.98,4.88,0.9256,"['DBA', 'MGA']",0014-3057(87)90166-2_5_0
14,,,1.3,0.8,2.03,3.92,0.992,[''],0014-3057(87)90166-2_5_0
15,,,1.41,0.874,1.82,3.72,0.9947,[''],0014-3057(87)90166-2_5_0
16,,,2.0,0.845,1.52,3.9,0.9924,[''],0014-3057(87)90166-2_5_0
17,,433.2,1.41,0.853,2.46,5.42,0.992,[''],0014-3057(87)90166-2_5_0
18,,,1.6,0.817,3.69,4.15,0.9966,[''],0014-3057(87)90166-2_5_0
19,,,2.93,0.866,2.45,6.06,0.9812,[''],0014-3057(87)90166-2_5_0
