,Samples,Table 2. Morphological Feed terpolymer* weight fraction,results Db,results Vi°,results N superscript(d),Vectors,results Db_err,Ref
0,100/0,0.0,,0.0,0.0,"['(1.0)', '(0.0)']",,0014-3057(91)90060-2_7_0
1,la series,,,,,['laseries'],,0014-3057(91)90060-2_7_0
2,90/10,0.077,8.7,0.122,0.4,"['(0.9)', '(0.1)']",3.4,0014-3057(91)90060-2_7_0
3,80/20,0.157,11.5,0.227,0.2,"['(0.8)', '(0.2)']",6.2,0014-3057(91)90060-2_7_0
4,75/25,0.197,8.0,0.261,0.5,"['(0.75)', '(0.25)']",3.0,0014-3057(91)90060-2_7_0
5,Ib series,,,,,['Ibseries'],,0014-3057(91)90060-2_7_0
6,90/10,0.077,4.0,0.098,0.5,"['(0.9)', '(0.1)']",3.1,0014-3057(91)90060-2_7_0
7,85/15,0.117,,_e,,"['(0.85)', '(0.15)']",_°,0014-3057(91)90060-2_7_0
8,Ic series,,,,,['Icseries'],,0014-3057(91)90060-2_7_0
9,90/10,0.077,3.8,0.13,0.6,"['(0.9)', '(0.1)']",2.9,0014-3057(91)90060-2_7_0
10,80/20,0.156,3.2,0.265,2.9,"['(0.8)', '(0.2)']",1.5,0014-3057(91)90060-2_7_0
11,Id series,,,,,['Idseries'],,0014-3057(91)90060-2_7_0
12,90/10,0.077,2.7,0.123,1.4,"['(0.9)', '(0.1)']",2.6,0014-3057(91)90060-2_7_0
13,80/20,0.156,3.4,0.195,1.5,"['(0.8)', '(0.2)']",2.3,0014-3057(91)90060-2_7_0
14,Ie series,,,,,['Ieseries'],,0014-3057(91)90060-2_7_0
15,90/10,0.077,2.8,0.105,1.5,"['(0.9)', '(0.1)']",1.1,0014-3057(91)90060-2_7_0
16,80/20,0.156,2.5,0.142,2.5,"['(0.8)', '(0.2)']",1.2,0014-3057(91)90060-2_7_0
17,75/25,0.196,2.5,0.252,5.2,"['(0.75)', '(0.25)']",0.5,0014-3057(91)90060-2_7_0
18,Ig series,,,,,['Igseries'],,0014-3057(91)90060-2_7_0
19,90/10,0.077,3.0,0.127,1.8,"['(0.9)', '(0.1)']",0.6,0014-3057(91)90060-2_7_0
20,80/20,0.156,2.7,0.216,2.9,"['(0.8)', '(0.2)']",0.7,0014-3057(91)90060-2_7_0
21,lla series,,,,,['llaseries'],,0014-3057(91)90060-2_7_0
22,90/10,0.077,14.2,0.161,0.1,"['(0.9)', '(0.1)']",8.1,0014-3057(91)90060-2_7_0
23,80/20,0.156,16.4,0.28,0.1,"['(0.8)', '(0.2)']",8.4,0014-3057(91)90060-2_7_0
24,IIb series,,,,,['IIbseries'],,0014-3057(91)90060-2_7_0
25,90/10,0.077,8.2,0.105,0.2,"['(0.9)', '(0.1)']",3.7,0014-3057(91)90060-2_7_0
26,80/20,0.156,15.2,0.194,0.1,"['(0.8)', '(0.2)']",6.6,0014-3057(91)90060-2_7_0
