,Samples,Curing agent DDS/MDS,Feed terpolymer weight fraction,D°,Vi°,N°,Vectors,D°_err,Ref
0,100/0,100.0,0.0,,0.0,0.0,"['(1.0)', '(0.0)']",,0014-3057(92)90025-w_7_0
1,DEGBAI series,,,,,,['DEGBAIseries'],,0014-3057(92)90025-w_7_0
2,80/20,100.0,0.156,2.5,0.142,2.5,"['(0.8)', '(0.2)']",1.2,0014-3057(92)90025-w_7_0
3,80/20,67.0,0.148,3.3,0.192,2.1,"['(0.8)', '(0.2)']",0.9,0014-3057(92)90025-w_7_0
4,80/20,48.0,0.142,3.1,0.197,2.5,"['(0.8)', '(0.2)']",0.9,0014-3057(92)90025-w_7_0
5,80/20,33.0,0.137,3.7,0.152,0.9,"['(0.8)', '(0.2)']",3.0,0014-3057(92)90025-w_7_0
6,DGEBA/II series,,,,,,"['DGEBA', 'IIseries']",,0014-3057(92)90025-w_7_0
7,80/20,100.0,0.156,4.0,0.192,1.3,"['(0.8)', '(0.2)']",0.8,0014-3057(92)90025-w_7_0
8,90/10,48.0,0.072,2.5,0.087,1.7,"['(0.9)', '(0.1)']",0.6,0014-3057(92)90025-w_7_0
9,80/20,48.0,0.143,3.2,0.183,2.2,"['(0.8)', '(0.2)']",0.8,0014-3057(92)90025-w_7_0
10,75/25,48.0,0.255,3.1,0.255,3.3,"['(0.75)', '(0.25)']",0.7,0014-3057(92)90025-w_7_0
11,DGEBAITGAC/III or III series,,,,,,"['DGEBAITGAC', 'IIIorIIIseries']",,0014-3057(92)90025-w_7_0
12,64/16/20*,100.0,0.152,4.0,0.181,1.3,"['(0.64)', '(0.16)', '*(0.2)']",0.8,0014-3057(92)90025-w_7_0
13,64/16/20,48.0,0.138,3.8,0.128,1.1,"['(0.64)', '(0.16)', '(0.2)']",1.0,0014-3057(92)90025-w_7_0
14,0/80/20,100.0,0.137,4.5,0.165,0.6,"['(0.0)', '(0.8)', '(0.2)']",3.7,0014-3057(92)90025-w_7_0
15,0/80/20,48.0,0.12,6.1,0.15,0.35,"['(0.0)', '(0.8)', '(0.2)']",3.8,0014-3057(92)90025-w_7_0
