,Samples,C (%),H (%),N (%),Distribution ratio (L/g) U-CMC-SAL,Distribution ratio (L/g) N-CMC-SAL,"Selectivity coefficient, U-CMC-SAL","B UO22+/M""+ N-CMC-SAL","Relative selectivity coefficient, B,",Kc,Unnamed: 3,.1,-AG ads,(k)/mol),.2,ads (kJ/mol),S ads (I/molK),Vectors,Ref
0,Al-CMC,39.1,5.7,0.026,,,,,,,,,,,,,,"['Al', 'CMC']",j.carbpol.2013.05.062
1,CMC,40.3,5.8,0.03,,,,,,,,,,,,,,['CMC'],j.carbpol.2013.05.062
2,CMC-SAL,59.3,5.5,19.5,,,,,,,,,,,,,,"['CMC', 'SAL']",j.carbpol.2013.05.062
3,CMC-g-PAH,41.4,7.4,34.4,,,,,,,,,,,,,,"['CMC', 'g', 'PAH']",j.carbpol.2013.05.062
4,CMC-g-PAN,55.9,4.6,15.6,,,,,,,,,,,,,,"['CMC', 'g', 'PAN']",j.carbpol.2013.05.062
5,Co2+,,,,2.81,3.17,82.54,11.15,7.4,,,,,,,,,"['Co2', '']",j.carbpol.2013.05.062
6,Cu2,,,,5.25,5.89,42.14,6.0,7.02,,,,,,,,,['Cu2'],j.carbpol.2013.05.062
7,Fe3+,,,,6.41,65.67,34.51,0.54,25.69,,,,,,,,,"['Fe3', '']",j.carbpol.2013.05.062
8,Mn2+,,,,2.68,2.23,21.55,15.86,63.9,,,,,,,,,"['Mn2', '']",j.carbpol.2013.05.062
9,N-CMC-SAL,,,,,,,,,32.3,19.13,14.0,8.46,7.42,6.87,32.19,81.16,"['N', 'CMC', 'SAL']",j.carbpol.2013.05.062
10,U-CMC-SAL,63.2,6.3,17.8,,,,,,149.02,36.5,24.01,12.11,9.08,8.27,70.52,200.02,"['U', 'CMC', 'SAL']",j.carbpol.2013.05.062
11,UO2²+,,,,221.22,35.36,-,-,,,,,,,,,,"['UO2²', '']",j.carbpol.2013.05.062
12,VO2+,,,,4.4,3.88,50.27,9.11,5.52,,,,,,,,,"['VO2', '']",j.carbpol.2013.05.062
