,Samples,Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),PSPR (m²/s),TSR (m²/m²),MARHE (kW/m²),Reference,T-5% (°C),T50% (°C),Tmax (°C),Residue (800 °C) (wt%),Vectors,Ref
0,2.0 wt% MoS2,,~(-)43%,~(-)14%,,,,45.0,,,,,['(0.02)MoS2'],j.cej.2016.10.100
1,2.0 wt% OapPOSS-rGO,,~(-)38%,~(-)36%,,,,46.0,,,,,"['(0.02)OapPOSS', 'rGO']",j.cej.2016.10.100
2,3.0 wt% CNT-PR,,~(-)33%,Not reported,,,,48.0,,,,,"['(0.03)CNT', 'PR']",j.cej.2016.10.100
3,3.0 wt% h-BN,,~(-)53%,~(-)32%,,,,38.0,,,,,"['(0.03)h', 'BN']",j.cej.2016.10.100
4,5.0 wt% Gr/Fe@Fe2O3,,~(-)15%,~(-)20%,,,,47.0,,,,,['(0.05)Gr/Fe@Fe2O3'],j.cej.2016.10.100
5,7.0 wt% u-silica,,~(-)25%,(-)8%,,,,44.0,,,,,"['(0.07)u', 'silica']",j.cej.2016.10.100
6,EP,125.0,1915.3,107.6,0.48,23.6,667.4,,343.5,377.4,368.9,10.4,['EP'],j.cej.2016.10.100
7,EP/SiO2,133.0,1776.9,95.6,0.37,21.6,614.8,,341.9,378.5,367.4,12.4,"['EP', 'SiO2']",j.cej.2016.10.100
8,EP/SiO2@PZM,135.0,1363.4,86.8,0.35,17.7,564.2,,338.9,370.7,356.2,15.7,"['EP', 'SiO2', 'PZM']",j.cej.2016.10.100
9,EP/SiO2@PZM@Cu2,130.0,1188.8,73.9,0.25,13.7,479.9,,327.6,364.1,346.2,18.5,"['EP', 'SiO2', 'PZM', 'Cu2']",j.cej.2016.10.100
10,EP/SiO2@PZM@Cul,125.0,1289.3,78.0,0.27,16.6,494.3,,333.5,371.0,357.4,16.0,"['EP', 'SiO2', 'PZM', 'Cul']",j.cej.2016.10.100
