,Samples,TTI (s),Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),Reduction in PHRR (%),FIGRA (kW/m²s),Char yield (%),EP (wt%),CF-PO(OPh)2 (wt%),CF-POPh2 (wt%),CF-PPh2 (wt%),Vectors,Ref
0,EP,50.0,95.0,985.0,87.1,-,10.4,5.7,100.0,0.0,0.0,0.0,['EP'],j.cej.2021.130192
1,EP/CF-PO (OPh)2-10,,,,,,,,90.0,10.0,0.0,0.0,"['EP', 'CF-PO(OPh)2(-10)']",j.cej.2021.130192
2,EP/CF-PO (OPh)2-2.5,,,,,,,,97.5,2.5,0.0,0.0,"['EP', 'CF-PO(OPh)2(-2.5)']",j.cej.2021.130192
3,EP/CF-PO (OPh)2-5,,,,,,,,95.0,5.0,0.0,0.0,"['EP', 'CF-PO(OPh)2(-5)']",j.cej.2021.130192
4,EP/CF-PO(OPh)2-10,37.0,134.0,455.0,75.0,53.8,3.4,14.0,,,,,"['EP', 'CF-PO(OPh)2(-10)']",j.cej.2021.130192
5,EP/CF-PO(OPh)2-2.5,47.0,100.0,892.0,83.9,9.4,8.9,8.6,,,,,"['EP', 'CF-PO(OPh)2(-2.5)']",j.cej.2021.130192
6,EP/CF-PO(OPh)2-5,48.0,123.0,595.0,79.3,39.6,4.8,12.2,,,,,"['EP', 'CF-PO(OPh)2(-5)']",j.cej.2021.130192
7,EP/CF-POPh2-10,42.0,98.0,769.0,77.5,21.9,7.8,6.4,90.0,0.0,10.0,0.0,"['EP', 'CF-POPh2(-10)']",j.cej.2021.130192
8,EP/CF-POPh2-2.5,,,,,,,,97.5,0.0,2.5,0.0,"['EP', 'CF-POPh2(-2.5)']",j.cej.2021.130192
9,EP/CF-POPh2-5,,,,,,,,95.0,0.0,5.0,0.0,"['EP', 'CF-POPh2(-5)']",j.cej.2021.130192
10,EP/CF-PPh2-10,43.0,109.0,818.0,79.4,17.0,7.5,6.6,90.0,0.0,0.0,10.0,"['EP', 'CF-PPh2(-10)']",j.cej.2021.130192
11,EP/CF-PPh2-2.5,,,,,,,,97.5,0.0,0.0,2.5,"['EP', 'CF-PPh2(-2.5)']",j.cej.2021.130192
12,EP/CF-PPh2-5,,,,,,,,95.0,0.0,0.0,5.0,"['EP', 'CF-PPh2(-5)']",j.cej.2021.130192
