,Samples,TTI (s),PHRR (kW/m²),HRR (kW/m²),Tp (s),FIGRA,THR (MJ/m²),TSP (m²),EHC (MJ/kg),CY (%),TTI (s)_err,PHRR (kW/m²)_err,HRR (kW/m²)_err,Tp (s)_err,THR (MJ/m²)_err,TSP (m²)_err,EHC (MJ/kg)_err,CY (%)_err,T1% (°C),R1% (%/min),Tmax1 (°C),Rmax1 (%/min),Tmax2 (°C),Rmax2 (%/min),00 (%),E44 (wt%),PA650 (wt%),APP (wt%),SYN (wt%),UL-94,LOI (%),LOI (%)_err,Vectors,Ref
0,APP,,,,,,,,,,,,,,,,,,289.0,0.35,357.0,1.48,639.0,7.53,24.0,,,,,,,,['APP'],j.compositesb.2019.107189
1,EP/16.80% APP/1.20% Cu2+. -GO,,,,,,,,,,,,,,,,,,,,,,,,,45.56,36.44,16.8,1.2,V-0,31.5,0.5,"['EP', '(0.168)APP', '(0.012)Cu2+.-GO']",j.compositesb.2019.107189
2,EP/20.53% APP/1.47% CuO-GNS,,,,,,,,,,,,,,,,,,,,,,,,,43.33,34.67,20.53,1.47,V-0,36.0,0.5,"['EP', '(0.2053)APP', '(0.0147)CuO-GNS']",j.compositesb.2019.107189
3,EP/21.47% APP/1.53% Cu-rGO,,,,,,,,,,,,,,,,,,,,,,,,,42.78,34.22,21.47,1.53,V-0,34.0,0.5,"['EP', '(0.2147)APP', '(0.015300000000000001)Cu-rGO']",j.compositesb.2019.107189
4,EP/28%APP,62.0,558.0,163.0,135.0,4.1,68.0,27.6,24.8,38.0,1.0,26.0,19.0,10.0,8.0,3.1,0.3,2.0,219.0,0.21,321.0,9.12,427.0,4.52,25.0,40.0,32.0,28.0,/,NR,35.5,0.5,"['EP', '(0.28)APP']",j.compositesb.2019.107189
5,EP/28%APP/ 2%Cu-rGC,,,,,,,,,,,,,,,,,,,,,,,,,38.89,31.11,28.0,2.0,V-0,38.0,0.5,"['EP', '(0.28)APP', '(0.02)Cu-rGC']",j.compositesb.2019.107189
6,EP/28%APP/ 2%Cu2+-GC,,,,,,,,,,,,,,,,,,,,,,,,,38.89,31.11,28.0,2.0,V-0,40.5,0.5,"['EP', '(0.28)APP', '(0.02)Cu2+-GC']",j.compositesb.2019.107189
7,EP/28%APP/ 2%CuO-GNS,,,,,,,,,,,,,,,,,,,,,,,,,38.89,31.11,28.0,2.0,V-0,41.0,0.5,"['EP', '(0.28)APP', '(0.02)CuO-GNS']",j.compositesb.2019.107189
8,EP/28%APP/ 2%GNS,,,,,,,,,,,,,,,,,,,,,,,,,40.0,32.0,28.0,2.0,V-0,37.5,0.5,"['EP', '(0.28)APP', '(0.02)GNS']",j.compositesb.2019.107189
9,EP/28%APP/2%Cu-rGO,55.0,418.0,128.0,115.0,3.6,56.0,25.7,17.2,41.0,3.0,40.0,15.0,10.0,3.0,1.5,0.3,4.0,226.0,0.28,332.0,7.83,432.0,4.58,23.0,,,,,,,,"['EP', '(0.28)APP', '(0.02)Cu-rGO']",j.compositesb.2019.107189
10,EP/28%APP/2%Cu2+ -GO,56.0,355.0,133.0,110.0,3.2,60.0,26.1,22.7,43.0,4.0,32.0,13.0,10.0,3.0,1.5,0.4,2.0,,,,,,,,,,,,,,,"['EP', '(0.28)APP', '(0.02)Cu2+-GO']",j.compositesb.2019.107189
11,EP/28%APP/2%Cu2+-GO,,,,,,,,,,,,,,,,,,236.0,0.36,324.0,8.4,421.0,4.7,28.0,,,,,,,,"['EP', '(0.28)APP', '(0.02)Cu2+-GO']",j.compositesb.2019.107189
12,EP/28%APP/2%CuO-GNS,59.0,380.0,133.0,130.0,2.9,55.0,23.0,26.2,41.0,3.0,22.0,12.0,10.0,4.0,1.4,0.5,1.0,238.0,0.29,324.0,8.77,427.0,4.67,29.0,,,,,,,,"['EP', '(0.28)APP', '(0.02)CuO-GNS']",j.compositesb.2019.107189
13,EP/28%APP/2%GNS,59.0,567.0,112.0,105.0,5.4,46.0,27.8,16.9,40.0,3.0,23.0,15.0,10.0,7.0,2.1,0.2,3.0,224.0,0.17,327.0,6.89,438.0,6.09,24.0,,,,,,,,"['EP', '(0.28)APP', '(0.02)GNS']",j.compositesb.2019.107189
14,EP/29%APP,,,,,,,,,,,,,,,,,,,,,,,,,39.46,31.54,29.0,/,V-1,36.0,0.5,"['EP', '(0.29)APP']",j.compositesb.2019.107189
15,EP/30%APP,,,,,,,,,,,,,,,,,,,,,,,,,38.89,31.11,30.0,/,V-0,36.5,0.5,"['EP', '(0.3)APP']",j.compositesb.2019.107189
16,Neat EP,62.0,1075.0,262.0,135.0,8.0,106.0,51.6,21.1,5.0,2.0,35.0,14.0,5.0,5.0,4.5,0.1,2.0,241.0,0.17,371.0,8.22,421.0,10.09,4.0,55.55,44.44,/,/,NR,20.0,0.5,['EP'],j.compositesb.2019.107189
