,Samples,HCN (ppm),NO (ppm),N2O (ppm),NH3 (ppm),CO (ppm),CO2 (%),HCHO (ppm),C6H5OH (ppm),H2O (%),C2H4 (ppm),+5,+5.1,+0.5,£0.1,+10,+0.1,+0.1.1,£0.1.1,£0.1.2,£0.5,TTI (s),PHRR (kW/m²),THR (MJ/m²),PSPR (m²/s),TSP (m²),PCOP (g/s),PCO₂P (g/s),Nitrogen T% (°C),atmosphere Tmax (°C),atmosphere MLRmax (wt%/°C),atmosphere Res a (wt%),Air atmosphere T% (°C),Air atmosphere Tmax1/Tmax2 (C),Air atmosphere MLRmax (wt%/°C),Air atmosphere Re,Tensile strengh (MPa),Young's modulus (MPa),Elongation at break (%),Tensile strengh (MPa)_err,Young's modulus (MPa)_err,Elongation at break (%)_err,Vectors,Ref
0,/BODIPY2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0,434.0,1.8,1.2,339.0,416.0,1.6,1.1,,,,,,,"['', 'BODIPY(2.0)']",j.compositesb.2021.109130
1,ABS/BODIPY- MXene0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,2636.0,39.5,1.4,225.0,9.5,"['ABS', 'BODIPY-MXene(0.5)']",j.compositesb.2021.109130
2,ABS/BODIPY- MXene2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,2770.0,28.5,3.7,212.0,2.2,"['ABS', 'BODIPY-MXene(2.0)']",j.compositesb.2021.109130
3,ABS/BODIPY-MXene 2.0,12.434,16.756,599.0,43.0,74.293,182.0,733.0,327.0,306.0,2223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ABS', 'BODIPY-MXene(2.0)']",j.compositesb.2021.109130
4,ABS/BODIPY-MXene0.5,133.0,209.0,6.3,0.6,741.0,2.3,8.4,3.8,2.1,22.2,133.0,209.0,6.3,0.6,741.0,2.3,8.4,3.8,2.1,22.2,35.0,886.0,79.8,0.257,25.7,0.023,0.64,,,,,,,,,,,,,,,"['ABS', 'BODIPY-MXene(0.5)']",j.compositesb.2021.109130
5,ABS/BODIPY-MXene0.5,11.508,17.46,574.0,55.0,69.385,192.0,645.0,522.0,304.0,2014.0,133.0,209.0,6.3,0.6,741.0,2.3,8.4,3.8,2.1,22.2,35.0,886.0,79.8,0.257,25.7,0.023,0.64,,,,,,,,,,,,,,,"['ABS', 'BODIPY-MXene(0.5)']",j.compositesb.2021.109130
6,ABS/BODIPY-MXene2.0,142.0,198.0,7.1,0.4,747.0,1.8,8.6,3.0,2.2,24.3,142.0,198.0,7.1,0.4,747.0,1.8,8.6,3.0,2.2,24.3,40.0,900.0,81.0,0.296,27.6,0.025,0.64,,,,,,,,,,,,,,,"['ABS', 'BODIPY-MXene(2.0)']",j.compositesb.2021.109130
7,ABS/BODIPY2.0,167.0,239.0,8.3,1.0,877.0,2.7,9.5,5.0,2.4,25.1,167.0,239.0,8.3,1.0,877.0,2.7,9.5,5.0,2.4,25.1,45.0,1032.0,81.3,0.296,25.6,0.028,0.73,,,,,,,,,31.9,2277.0,37.4,4.9,359.0,6.2,"['ABS', 'BODIPY(2.0)']",j.compositesb.2021.109130
8,ABS/BODIPY2.0,12.079,18.861,672.0,149.0,69.114,198.0,682.0,586.0,361.0,2074.0,167.0,239.0,8.3,1.0,877.0,2.7,9.5,5.0,2.4,25.1,45.0,1032.0,81.3,0.296,25.6,0.028,0.73,,,,,,,,,31.9,2277.0,37.4,4.9,359.0,6.2,"['ABS', 'BODIPY(2.0)']",j.compositesb.2021.109130
9,Error,5.0,5.0,0.5,0.1,10.0,0.1,0.1,0.1,0.1,0.5,,,,,,,,,,,2.0,15.0,0.5,0.01,0.5,0.005,0.02,,,,,,,,,,,,,,,['Error'],j.compositesb.2021.109130
10,Error,500.0,500.0,50.0,20.0,500.0,20.0,50.0,50.0,20.0,100.0,,,,,,,,,,,2.0,15.0,0.5,0.01,0.5,0.005,0.02,,,,,,,,,,,,,,,['Error'],j.compositesb.2021.109130
11,Neat ABS,200.0,268.0,11.8,2.5,1041.0,3.4,12.5,4.5,2.6,34.0,200.0,268.0,11.8,2.5,1041.0,3.4,12.5,4.5,2.6,34.0,51.0,1174.0,81.2,0.315,24.7,0.035,0.84,,,,,,,,,31.3,2223.0,33.5,5.2,248.0,5.0,['ABS'],j.compositesb.2021.109130
12,Neat ABS,12.41,18.002,690.0,243.0,72.687,214.0,762.0,323.0,356.0,2253.0,200.0,268.0,11.8,2.5,1041.0,3.4,12.5,4.5,2.6,34.0,51.0,1174.0,81.2,0.315,24.7,0.035,0.84,,,,,,,,,31.3,2223.0,33.5,5.2,248.0,5.0,['ABS'],j.compositesb.2021.109130
13,S/BODIPY-MXene0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.0,438.0,1.9,1.9,343.0,412.0,1.9,0.7,,,,,,,"['S', 'BODIPY-MXene(0.5)']",j.compositesb.2021.109130
14,S/BODIPY-MXene2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,434.0,1.7,4.7,286.0,413.0,1.6,1.9,,,,,,,"['S', 'BODIPY-MXene(2.0)']",j.compositesb.2021.109130
15,at ABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,442.0,2.0,1.0,362.0,412.0,2.1,0.1,,,,,,,['atABS'],j.compositesb.2021.109130
