,Samples,Modulus (MPa),Strength (MPa),Failure-Strain (mm/mm),Modulus (MPa)_err,Strength (MPa)_err,Failure-Strain (mm/mm)_err,Unnamed: 2,.1,Yield,Strength (),(MPa),.1_err,Yield_err,Strength ()_err,(MPa)_err,DGEBA (g),NGDE (g),Jeffamine 230 (g),MWCNT (phr),MWCNT Weight (%),Rf (%),Tres (°C),Vr (%/min),Unnamed: 5,Rf (%)_err,Tres (°C)_err,Vr (%/min)_err,_err,"LCTE below (10-5,",Tg (°C),LCTE above Tg (10-5/°C),Tg(°C)' (from DS curves),"LCTE below (10-5,_err",LCTE above Tg (10-5/°C)_err,Tg(°C)' (from DS curves)_err,Vectors,Ref
0,E-0-CNT,450.23,16.77,1.01,13.7,0.8,0.03,,,,,,,,,,,,,,,,,,,,,,,6.04,,18.92,42.1,0.1,1.6,1.0,"['E', '0', 'CNT']",j.compscitech.2016.10.030
1,E-0-CNT,450.2,,,13.0,,,207.8,521.5,9.8,16.7,20.5,1.0,1.3,0.8,1.0,,,,,,,,,,,,,,6.04,,18.92,42.1,0.1,1.6,1.0,"['E', '0', 'CNT']",j.compscitech.2016.10.030
2,E-0-CNT,206.9,,,23.0,,,450.27,6.5,16.7,5.29,-,1.4,0.8,1.7,,42.86,28.57,28.57,0.0,0.0,96.4,57.6,3.67,,0.5,3.1,0.34,13.0,6.04,,18.92,42.1,0.1,1.6,1.0,"['E', '0', 'CNT']",j.compscitech.2016.10.030
3,E-0.5-CNT,536.11,22.11,0.71,17.0,1.3,0.09,,,,,,,,,,,,,,,,,,,,,,,5.84,,18.16,43.6,0.5,0.8,1.0,"['E', '0.5', 'CNT']",j.compscitech.2016.10.030
4,E-0.5-CNT,,,,,,,,,,,,,,,,42.86,28.57,28.57,0.5,0.49,97.5,52.5,4.58,,11.0,11.0,0.68,,5.84,,18.16,43.6,0.5,0.8,1.0,"['E', '0.5', 'CNT']",j.compscitech.2016.10.030
5,E-1-CNT,616.21,25.77,0.65,34.0,1.8,0.1,,,,,,,,,,,,,,,,,,,,,,,5.97,,18.67,44.11,0.3,1.4,1.5,"['E', '1', 'CNT']",j.compscitech.2016.10.030
6,E-1-CNT,616.2,,,34.0,,,522.7,714.8,18.6,25.7,29.8,3.0,1.4,1.8,1.5,,,,,,,,,,,,,,5.97,,18.67,44.11,0.3,1.4,1.5,"['E', '1', 'CNT']",j.compscitech.2016.10.030
7,E-1-CNT,331.27,,,26.0,,,616.2,12.8,25.71,7.39,-,1.3,1.8,1.3,,42.86,28.57,28.57,1.0,0.99,98.0,51.2,6.06,,0.6,1.0,0.44,34.0,5.97,,18.67,44.11,0.3,1.4,1.5,"['E', '1', 'CNT']",j.compscitech.2016.10.030
8,E-1.5-CNT,7.0,28.76,0.61,51.92,1.1,0.02,,,,,,,,,,,,,,,,,,,,,,,5.72,,18.79,44.6,0.9,1.7,1.3,"['E', '1.5', 'CNT']",j.compscitech.2016.10.030
9,E-1.5-CNT,,,,,,,,,,,,,,,,42.86,28.57,28.57,1.5,1.47,98.5,51.1,6.08,,0.3,1.9,0.58,,5.72,,18.79,44.6,0.9,1.7,1.3,"['E', '1.5', 'CNT']",j.compscitech.2016.10.030
10,E-2-CNT,867.8,32.06,0.55,38.7,14.0,0.05,,,,,,,,,,,,,,,,,,,,,,,5.56,,17.67,44.8,0.2,0.7,1.0,"['E', '2', 'CNT']",j.compscitech.2016.10.030
11,E-2-CNT,,,,,,,,,,,,,,,,42.86,28.57,28.57,2.0,1.96,98.5,50.7,6.11,,0.3,1.1,0.71,,5.56,,17.67,44.8,0.2,0.7,1.0,"['E', '2', 'CNT']",j.compscitech.2016.10.030
12,Strain Rate (/s),0.0,,,0.0013,,,0.00033,,,,,0.0033,0.00033,0.0013,0.0033,,,,,,,,,,,,,,,,,,,,,['StrainRate(/s)'],j.compscitech.2016.10.030
13,Temperature,,,,55.0,,,,,,,80.0,80.0,27.0,55.0,,,,,,,,,,,,,,27.0,,,,,,,,['Temperature'],j.compscitech.2016.10.030
