,Samples,Tonset (°C),Tmax (°C),Residue (wt%) at 700 °C,TTI (s),PHRR (kW/m²),THR (MJ/m²),pSPR (m ² superscript(1)),TSP (m²),Char residue (wt%),TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSP (m²)_err,Char residue (wt%)_err,Vectors,Ref
0,EP,,,,93.0,975.0,99.0,0.2404,29.7,14.0,3.0,14.0,3.0,5.0,0.6,['EP'],j.compscitech.2019.107748
1,EP/1 wt% FePP,326.0,392.0,23.8,,,,,,,,,,,,"['EP', '(0.01)FePP']",j.compscitech.2019.107748
2,EP/1 wt%FePP,,,,86.0,759.0,84.0,0.2042,22.9,20.8,3.0,16.0,3.0,4.5,1.3,"['EP', '(0.01)FePP']",j.compscitech.2019.107748
3,EP/2 wt% FePP,330.0,391.0,27.8,,,,,,,,,,,,"['EP', '(0.02)FePP']",j.compscitech.2019.107748
4,EP/2 wt%FePP,,,,78.0,691.0,74.0,0.1878,19.3,22.0,2.0,12.0,1.5,3.0,0.9,"['EP', '(0.02)FePP']",j.compscitech.2019.107748
5,EP/4 wt% FePP,327.0,391.0,28.9,,,,,,,,,,,,"['EP', '(0.04)FePP']",j.compscitech.2019.107748
6,EP/4 wt%FePP,,,,80.0,560.0,73.0,0.1621,19.8,25.3,1.0,18.0,3.0,3.0,1.4,"['EP', '(0.04)FePP']",j.compscitech.2019.107748
7,EP/6 wt% FePP,329.0,393.0,30.1,,,,,,,,,,,,"['EP', '(0.06)FePP']",j.compscitech.2019.107748
8,EP/6 wt%FePP,,,,80.0,476.0,72.0,0.1406,17.9,26.9,3.0,11.0,2.0,2.0,0.7,"['EP', '(0.06)FePP']",j.compscitech.2019.107748
9,Pure EP,350.0,411.0,14.2,,,,,,,,,,,,['EP'],j.compscitech.2019.107748
