,Samples,Curing process,Phase morphology,Calculated strand density (mol/g),Weighted strand density (mol/g),Opaque,T 8/°C (from tan 8),Conversion from Methacrylate,NIR Epoxy (%),Vectors,Ref
0,25:75 IPN,UV,1 phase,0.00022,0.00141,,,,,['25:75IPN'],j.eurpolymj.2008.03.001
1,25:75 IPN,Iso,1 major and 1 minor phase,0.00057,0.00122,,,,,['25:75IPN'],j.eurpolymj.2008.03.001
2,25:75 IPN,UV + iso,Partially phase separated,0.00109,0.00263,,,,,['25:75IPN'],j.eurpolymj.2008.03.001
3,25:75 IPN,Iso + UV,1 major and 1 minor phase,0.00141,0.00263,,,,,['25:75IPN'],j.eurpolymj.2008.03.001
4,"25:75 IPN (UV cure at 40 °C/40 min and then isothermal cure at 80 °C/12 h, postcured at 150 °C/2 h)",,,,,No,ca. 124 and 145,96.0,92.0,"['25', '75IPN(UVcureat40°C/40minandthenisothermalcureat80°C/12h,postcuredat150°C/2h)']",j.eurpolymj.2008.03.001
5,25:75 IPN (UV cure at 40 °C/40 min),,,,,No,4,96.0,7.0,"['25', '75IPN(UVcureat40°C/40min)']",j.eurpolymj.2008.03.001
6,"25:75 IPN (isothermal cure at 80 °C/12 h and then UV cure at 80 °C/40 min, postcured at 150 °C/21 h)",,,,,No,ca. 30 and 119,74.0,96.0,"['25', '75IPN(isothermalcureat80°C/12handthenUVcureat80°C/40min,postcuredat150°C/21h)']",j.eurpolymj.2008.03.001
7,25:75 IPN (isothermal cure at 80 °C/12 h),,,,,No,ca. -25 and 85,0.0,95.0,"['25', '75IPN(isothermalcureat80°C/12h)']",j.eurpolymj.2008.03.001
8,25:75 IPN but without DMBA catalyst for epoxy (UV cure at 40 °C/40 min),,,,,No,-13,96.0,0.0,"['25', '75IPNbutwithoutDMBAcatalystforEP(UVcureat40°C/40min)']",j.eurpolymj.2008.03.001
9,25:75 IPN systems,,,,,,,,,"['25', '75IPNsystems']",j.eurpolymj.2008.03.001
10,25:75 IPNs-fully cured,,,,,,,,,"['25', '75IPNs-fullycured']",j.eurpolymj.2008.03.001
11,25:75 IPNs-partially cured,,,,,,,,,"['25', '75IPNs-partiallycured']",j.eurpolymj.2008.03.001
12,50:50 IPN,UV,1 phase,0.00165,0.00282,,,,,['50:50IPN'],j.eurpolymj.2008.03.001
13,50:50 IPN,Iso,2 phase,0.00015,0.00082,,,,,['50:50IPN'],j.eurpolymj.2008.03.001
14,50:50 IPN,UV + iso,Multiphase,0.00202,0.00363,,,,,['50:50IPN'],j.eurpolymj.2008.03.001
