,Samples,DGEBA (wt%),DGEBA mol (%),PEI-Si (wt%),PEI-Si mol (%),TEOS (wt%),TEOS mol (%),GPTMS (wt%),GPTMS mol (%),T ' (°C),T5% b (°C),T1st peak (°C),Tmax (°C),T3rd peak e (C),Residue (wt%),Residue® (wt%),Pd 1N° (um),P 4N (um),Lc1b (mN),Lc2c (mN),Pd 1N° (um)_err,P 4N (um)_err,Vectors,Ref
0,10% GPTMS,45.0,82.5,45.0,3.5,-,-,10.0,14.0,73.0,252.0,263.0,364.0,560.0,9.36,9.67,16.3,46.2,650.0,Not detected,2.7,2.2,['(0.1)GPTMS'],j.eurpolymj.2015.06.029
1,10% TEOS,45.0,80.4,45.0,3.5,10.0,16.1,-,-,83.0,254.0,268.0,372.0,562.0,10.1,10.27,10.1,30.7,800.0,3000,0.9,2.5,['(0.1)TEOS'],j.eurpolymj.2015.06.029
2,20% GPTMS,40.0,71.1,40.0,3.0,-,-,20.0,25.9,68.0,254.0,262.0,365.0,574.0,10.26,10.75,12.4,39.8,680.0,Not detected,0.4,2.6,['(0.2)GPTMS'],j.eurpolymj.2015.06.029
3,20% TEOS,40.0,67.5,40.0,3.1,20.0,29.4,-,-,82.0,255.0,267.0,371.0,557.0,11.08,11.74,10.9,35.9,560.0,3740,1.7,6.7,['(0.2)TEOS'],j.eurpolymj.2015.06.029
4,20% TEOS/20% GPTMS,30.0,48.0,30.0,2.0,20.0,24.0,20.0,26.0,68.0,257.0,268.0,368.0,576.0,12.49,13.24,11.9,36.3,450.0,Not detected,3.6,8.2,"['(0.2)TEOS', '(0.2)GPTMS']",j.eurpolymj.2015.06.029
5,30% GPTMS,35.0,58.0,35.0,2.5,-,-,30.0,39.5,68.0,256.0,258.0,366.0,610.0,11.62,12.3,16.1,45.1,620.0,Not detected,1.0,1.1,['(0.3)GPTMS'],j.eurpolymj.2015.06.029
6,30% TEOS,35.0,56.2,35.0,2.4,30.0,41.4,-,-,78.0,254.0,267.0,373.0,562.0,12.84,13.1,9.8,28.8,260.0,3840,1.7,0.7,['(0.3)TEOS'],j.eurpolymj.2015.06.029
7,40% GPTMS,30.0,47.4,30.0,2.0,-,-,40.0,50.6,67.0,259.0,259.0,367.0,610.0,12.3,13.62,16.2,48.9,820.0,Not detected,1.6,4.1,['(0.4)GPTMS'],j.eurpolymj.2015.06.029
8,40% TEOS,30.0,45.0,30.0,2.0,40.0,53.0,-,-,75.0,254.0,266.0,375.0,570.0,13.5,14.24,10.5,30.5,430.0,3730,1.2,0.8,['(0.4)TEOS'],j.eurpolymj.2015.06.029
9,Neat,50.0,96.0,50.0,4.0,-,-,-,-,89.0,254.0,267.0,371.0,562.0,8.41,9.1,10.1,31.6,670.0,3530,0.3,0.2,[''],j.eurpolymj.2015.06.029
