,Samples,G(kcal/mol),A (kcal/mol),Unnamed: 1,resin-epoxide Mixing ratio,resin-epoxide Number of atoms,Vectors,Ref
0,#1 33DDS-DGEBA 1st/2nd,37.59,32.91,,,,"['#(133)DDS-DGEBA(1)st', '2nd']",j.eurpolymj.2016.04.019
1,#1 33DDS-DGEBA8 1st/2nd,39.2,31.06,,,,"['#(133)DDS-DGEBA(81)st', '2nd']",j.eurpolymj.2016.04.019
2,#2 44DDS-DGEBA 1st/2nd,42.01,28.31,,,,"['#(244)DDS-DGEBA(1)st', '2nd']",j.eurpolymj.2016.04.019
3,#2 44DDS-DGEBA8 1st/2nd,40.9,30.27,,,,"['#(244)DDS-DGEBA(81)st', '2nd']",j.eurpolymj.2016.04.019
4,#3 33DDS-TGDDM 1st/2nd,41.92,26.03,,,,"['#(333)DDS-TGDDM(1)st', '2nd']",j.eurpolymj.2016.04.019
5,#4 44DDS-TGDDM 1st/2nd,43.68,26.07,,,,"['#(444)DDS-TGDDM(1)st', '2nd']",j.eurpolymj.2016.04.019
6,DGEBA/DEGBA8/33DDS,,,1.0,16.0,4225.0,"['DGEBA', 'DEGBA8', '(33)DDS']",j.eurpolymj.2016.04.019
7,IDGEBA/DEGBA8/44DDS,,,2.0,16.0,4225.0,"['IDGEBA', 'DEGBA8', '(44)DDS']",j.eurpolymj.2016.04.019
8,TGDDM/33DDS,,,3.0,1.0,4860.0,"['TGDDM', '(33)DDS']",j.eurpolymj.2016.04.019
9,TGDDM/44DDS,,,4.0,1.0,4860.0,"['TGDDM', '(44)DDS']",j.eurpolymj.2016.04.019
