,Samples,K1c (MPa.m1/2),Rrms (nm),da/10-4,Curing agent,W/phr,Tpost (C),Vectors,Ref
0,EP/D230-29,,,,D230,29.0,125.0,"['EP', 'D(23029)']",j.eurpolymj.2016.09.022
1,EP/D230-29 filled,0.847,35.3,87.4,,,,"['EP', 'D230-29filled']",j.eurpolymj.2016.09.022
2,EP/D230-29 neat,0.696,9.3,28.6,,,,"['EP', 'D230-29neat']",j.eurpolymj.2016.09.022
3,EP/D230-32,,,,D230,32.0,125.0,"['EP', 'D(23032)']",j.eurpolymj.2016.09.022
4,EP/DETA-10,,,,DETA,10.0,160.0,"['EP', 'DETA(10)']",j.eurpolymj.2016.09.022
5,EP/DETA-11,,,,DETA,11.1,160.0,"['EP', 'DETA(11)']",j.eurpolymj.2016.09.022
6,EP/MTHPA-89,,,,"MTHPA, 1MI",89.2,160.0,"['EP', 'MTHPA(89)']",j.eurpolymj.2016.09.022
7,EP/MTHPA-89 filled,0.501,71.5,38.6,,,,"['EP', 'MTHPA-89filled']",j.eurpolymj.2016.09.022
8,EP/MTHPA-89 neat,0.457,10.5,7.0,,,,"['EP', 'MTHPA-89neat']",j.eurpolymj.2016.09.022
9,EP/T403-40,,,,T403,40.0,125.0,"['EP', 'T(40340)']",j.eurpolymj.2016.09.022
10,EP/T403-44,,,,T403,44.0,125.0,"['EP', 'T(40344)']",j.eurpolymj.2016.09.022
11,EP/T403-44 filled,1.244,108.0,46.0,,,,"['EP', 'T403-44filled']",j.eurpolymj.2016.09.022
12,EP/T403-44 neat,1.5,15.0,4.9,,,,"['EP', 'T403-44neat']",j.eurpolymj.2016.09.022
