,Samples,Filler amount,Thickness,EMI SE (dB),Frequency,Ref.,Absorption 9 GHz Theory (dB),Absorption 9 GHz Exp (dB),Absorption 12 GHz Theory (dB),Absorption 12 GHz Exp (dB),Multiple reflection (dB)  Exp.,Multiple reflection (dB)  Theory,Vectors,Ref
0,Epoxy/rGO,15 wt%,2.0,21.0,X band,11.0,,,,,,,"['EP', 'rGO']",j.eurpolymj.2017.08.038
1,PEI/rGO,10 wt%,2.3,20.0,X band,59.0,,,,,,,"['PEI', 'rGO']",j.eurpolymj.2017.08.038
2,PMMA (foam)/rGO,1.8 vol%,2.4,13.0,X band,64.0,,,,,,,"['PMMA(foam)', 'rGO']",j.eurpolymj.2017.08.038
3,PMMA/rGO,8 wt%,3.4,30.0,X band,60.0,,,,,,,"['PMMA', 'rGO']",j.eurpolymj.2017.08.038
4,PS/FGN (foam),30 wt%,2.5,29.0,X band,58.0,,,,,,,"['PS', 'FGN(foam)']",j.eurpolymj.2017.08.038
5,PS/TRGO (foam),10 wt%,2.8,18.0,X band,62.0,,,,,,,"['PS', 'TRGO(foam)']",j.eurpolymj.2017.08.038
6,PS/rGO,3.47 vol%,2.5,45.1,X band,57.0,,,,,,,"['PS', 'rGO']",j.eurpolymj.2017.08.038
7,PS/rGO/MWCNT,1.5 wt% rGO + 2 wt% MWCNT,5.6,20.2,X band,63.0,,,,,,,"['PS', 'rGO', 'MWCNT']",j.eurpolymj.2017.08.038
8,Phenolic/rGO,70 wt%,0.2,43.42,X band,61.0,,,,,,,"['Phenolic', 'rGO']",j.eurpolymj.2017.08.038
9,SiO/rGO,20 wt%,1.5,36.0,X band,55.0,,,,,,,"['SiO', 'rGO']",j.eurpolymj.2017.08.038
10,TPU/EG,20 wt%,4.0,16.0,X band,54.0,,,,,,,"['TPU', 'EG']",j.eurpolymj.2017.08.038
11,TPU/G/CNT,10 wt%,3.0,30.0,Ku band,37.0,,,,,,,"['TPU', 'G', 'CNT']",j.eurpolymj.2017.08.038
12,TPU/TRGO5,,,,,,8.18,12.18,7.42,12.57,Negligible,0.0,"['TPU', 'TRGO(5)']",j.eurpolymj.2017.08.038
13,TPU/mTRGO5,,,,,,10.0,21.06,9.93,22.28,Negligible,0.0,"['TPU', 'mTRGO(5)']",j.eurpolymj.2017.08.038
14,TPU/rGO,20 wt%,50.0,20.0,X band,39.0,,,,,,,"['TPU', 'rGO']",j.eurpolymj.2017.08.038
15,UHMWPE/TRGO,0.660 vol%,2.5,28.3,X band,56.0,,,,,,,"['UHMWPE', 'TRGO']",j.eurpolymj.2017.08.038
