,Entry,Samples,Tg a (°C),Erb (MPa),E° (MPa),Ve (mol/dm³),Tensile strength (MPa),Elongation at break (%),Shore Hardness (HD),HRC (J/gk),PHRR (W/g),THR (kJ/ g),Peak temperature (°C),a,Tds (°C),Td30 (°C),Tmax b (C),Rsoo (%),Vectors,Ref
0,1.0,DGF/33DDS,180.0,3921.0,36.0,2.48,56.0,8.5,88.3,,,,,,,,,,"['DGF', '(33)DDS']",j.eurpolymj.2019.109292
1,2.0,DGF/44DDS,216.0,2510.0,25.0,1.39,50.2,13.8,86.9,,,,,,,,,,"['DGF', '(44)DDS']",j.eurpolymj.2019.109292
2,3.0,DGEBA/33DDS,178.0,1858.0,17.56,1.46,49.9,8.2,76.6,,,,,,,,,,"['DGEBA', '(33)DDS']",j.eurpolymj.2019.109292
3,4.0,DGEBA/44DDS,237.0,1932.0,16.02,1.18,44.6,10.3,80.5,,,,,,,,,,"['DGEBA', '(44)DDS']",j.eurpolymj.2019.109292
4,1.0,DGF/33DDS,,,,,,,,132.0,128.3,20.5,369.0,,,,,,"['DGF', '(33)DDS']",j.eurpolymj.2019.109292
5,2.0,DGF/44DDS,,,,,,,,222.0,215.0,31.7,370.0,,,,,,"['DGF', '(44)DDS']",j.eurpolymj.2019.109292
6,3.0,DGEBA/ 33DDS,,,,,,,,601.0,553.0,32.3,452.8,,,,,,"['DGEBA', '(33)DDS']",j.eurpolymj.2019.109292
7,4.0,DGEBA/ 44DDS,,,,,,,,516.0,498.8,36.4,449.3,,,,,,"['DGEBA', '(44)DDS']",j.eurpolymj.2019.109292
8,3.0,DGEBA/33DDS,,,,,,,,,,,,184.0,405.0,417.0,418.0,20.0,"['DGEBA', '(33)DDS']",j.eurpolymj.2019.109292
9,4.0,DGEBA/44DDS,,,,,,,,,,,,238.0,397.0,414.0,420.0,14.0,"['DGEBA', '(44)DDS']",j.eurpolymj.2019.109292
10,1.0,DGF/33DDS,,,,,,,,,,,,176.0,324.0,366.0,337.0,27.0,"['DGF', '(33)DDS']",j.eurpolymj.2019.109292
11,2.0,DGF/44DDS,,,,,,,,,,,,215.0,324.0,355.0,339.0,18.0,"['DGF', '(44)DDS']",j.eurpolymj.2019.109292
