,PSA,Samples,Dp (nm),Gel (%),Sol Mw (kDa),D,Tg (°C),Bio (%),Dp (nm)_err,Gel (%)_err,Sol Mw (kDa)_err,Peel (N/25 mm),Loop tack (N/25 mm),WA (J/m²),Shear resistance (min),SAFT (°C),Peel (N/25 mm)_err,Loop tack (N/25 mm)_err,WA (J/m²)_err,Shear resistance (min)_err,SAFT (°C)_err,Vectors,Ref
0,1.1,20A (100),230.0,66.0,63.0,4.1,43.0,71.0,3.0,1.0,5.0,,,,,,,,,,,['20A(100)'],j.eurpolymj.2020.110244
1,1.2,2OA:IBOMA (85:15),229.0,61.5,89.0,6.2,28.0,71.0,4.0,0.2,0.3,,,,,,,,,,,['2OA:IBOMA(85:15)'],j.eurpolymj.2020.110244
2,1.3,2OA:IBOMA + CTA* (85:15),210.0,50.3,111.0,5.9,28.0,71.0,3.0,0.2,0.3,,,,,,,,,,,"['2OA:IBOMA', 'CTA*(85:15)']",j.eurpolymj.2020.110244
3,2.1,2OA:IBOMA (85:15),215.0,56.2,104.0,6.2,28.0,70.0,2.0,0.2,1.3,,,,,,,,,,,['2OA:IBOMA(85:15)'],j.eurpolymj.2020.110244
4,2.2,2OA:IBOMA + CTA* (85:15),210.0,51.3,122.0,8.2,28.0,70.0,3.0,1.0,19.6,,,,,,,,,,,"['2OA:IBOMA', 'CTA*(85:15)']",j.eurpolymj.2020.110244
5,2.3,2OA:IBOMA: ISOMA + CTA* (85:10:5),220.0,47.0,151.0,9.6,29.0,70.0,4.0,2.0,4.3,,,,,,,,,,,"['2OA:IBOMA:ISOMA', 'CTA*(85:10:5)']",j.eurpolymj.2020.110244
6,2.2,20A:IBOMA + CTA* (85:15),,,,,,,,,,6.9,10.0,179.0,2137.0,90.0,0.5,1.0,24.0,130.0,1.0,"['20A:IBOMA', 'CTA*(85:15)']",j.eurpolymj.2020.110244
7,1.1,2OA (100),,,,,,,,,,3.5,3.1,43.0,393.0,70.0,0.8,0.6,6.0,35.0,1.0,['2OA(100)'],j.eurpolymj.2020.110244
8,1.2,2OA:IBOMA (85:15),,,,,,,,,,6.6,6.6,132.0,15047.0,94.0,0.4,0.1,8.0,439.0,1.0,['2OA:IBOMA(85:15)'],j.eurpolymj.2020.110244
9,2.1,2OA:IBOMA (85:15),,,,,,,,,,6.0,5.1,79.0,5273.0,100.0,0.5,0.4,2.0,40.0,1.0,['2OA:IBOMA(85:15)'],j.eurpolymj.2020.110244
10,1.3,2OA:IBOMA + CTA* (85:15),,,,,,,,,,7.3,6.2,119.0,1659.0,82.0,0.8,0.5,15.0,73.0,1.0,"['2OA:IBOMA', 'CTA*(85:15)']",j.eurpolymj.2020.110244
11,2.3,2OA:IBOMA: ISOMA + CTA* (85:10:5),,,,,,,,,,5.8,5.4,102.0,4334.0,85.0,0.4,0.4,5.0,180.0,1.0,"['2OA:IBOMA:ISOMA', 'CTA*(85:10:5)']",j.eurpolymj.2020.110244
