,Samples,Exterior C,Exterior o,Exterior Si,Exterior P,Exterior N,Interior C,Interior o,Interior Si,Interior P,Interior N,Cured epoxy resin (wt%),Content of flame Silsesquioxane,retardant (wt%) Si,retardant (wt%) DOPO,retardant (wt%) P,Tonset (°C),Tmax1 (°C),Tmax2 (°C),Residues (800 °C) (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),COY (kg/kg),CO₂Y (kg/kg),LOI (%),UL-94,t1 (s),t2 (s),Dripping,Vectors,Ref
0,EP,78.58,19.27,0.0,0.0,2.15,80.5,17.01,0.0,0.0,2.49,100.0,/,/,/,/,345.0,370.0,559.0,0.0,45.0,855.0,112.0,0.07,1.82,25.0,NR,30.0,/,Yes,['EP'],j.polymdegradstab.2012.10.005
1,EP/DOPO,77.06,14.2,0.0,1.92,6.82,81.18,15.88,0.0,0.58,2.35,93.7,/,/,6.3,0.9,336.0,354.0,588.0,0.0,54.0,686.0,96.0,0.13,1.7,30.5,NR,30.0,45.0,No,"['EP', 'DOPO']",j.polymdegradstab.2012.10.005
2,EP/DOPO/ OPS,,,,,,,,,,,,,,,,,,,,51.0,557.0,95.0,0.11,1.82,,,,,,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2012.10.005
3,EP/DOPO/ PPSQ,,,,,,,,,,,,,,,,,,,,49.0,895.0,100.0,0.11,1.84,,,,,,"['EP', 'DOPO', 'PPSQ']",j.polymdegradstab.2012.10.005
4,EP/DOPO/OPS,24.45,53.88,19.11,2.55,0.0,80.7,11.47,2.39,0.29,5.16,94.8,2.1,0.45,3.1,0.45,348.0,363.0,581.0,3.9,,,,,,31.1,V-0,6.0,3.0,No,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2012.10.005
5,EP/DOPO/PPSQ,37.39,43.74,12.35,2.67,3.85,64.13,23.35,6.1,1.35,5.07,94.8,2.1,0.45,3.1,0.45,346.0,361.0,567.0,2.5,,,,,,31.2,NR,36.0,15.0,No,"['EP', 'DOPO', 'PPSQ']",j.polymdegradstab.2012.10.005
6,EP/OPS,6.74,65.92,27.34,0.0,0.0,82.54,11.17,2.33,0.0,3.97,95.9,4.1,0.9,/,/,364.0,379.0,576.0,0.6,55.0,626.0,112.0,0.08,2.0,27.2,NR,45.0,40.0,No,"['EP', 'OPS']",j.polymdegradstab.2012.10.005
7,EP/PPSQ,3.29,68.24,28.46,0.0,0.01,54.69,31.36,11.4,0.0,2.55,95.9,4.1,0.9,/,,360.0,381.0,577.0,0.4,50.0,925.0,116.0,0.08,2.05,27.1,NR,30.0,/,No,"['EP', 'PPSQ']",j.polymdegradstab.2012.10.005
8,OPS,,,,,,,,,,,,,,,,450.0,517.0,656.0,8.5,,,,,,,,,,,['OPS'],j.polymdegradstab.2012.10.005
9,PPSQ,,,,,,,,,,,,,,,,504.0,612.0,692.0,45.8,,,,,,,,,,,['PPSQ'],j.polymdegradstab.2012.10.005
