,Samples,TTI (s),FO(s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSR (m²/m²),Char (%),Vectors,Ref
0,UP/allyl-PH: 70/30,54.0,179.0,960.0,71.0,19.6,3820.0,11.0,"['UP(0.7)', 'allyl-PH(0.3)']",j.polymdegradstab.2013.12.021
1,UP/allyl-PH: 70/30-RDP,52.0,153.0,620.0,41.0,12.3,4440.0,14.0,"['UP(0.7)', 'allyl-PH(0.3)', 'RDP']",j.polymdegradstab.2013.12.021
2,UP/allyl-PH: 70/30-BADP,51.0,156.0,680.0,46.0,13.6,4890.0,13.0,"['UP(0.7)', 'allyl-PH(0.3)', 'BADP']",j.polymdegradstab.2013.12.021
3,UP/allyl-PH: 70/30-DOPO,55.0,213.0,540.0,47.0,13.5,4650.0,17.0,"['UP(0.7)', 'allyl-PH(0.3)', 'DOPO']",j.polymdegradstab.2013.12.021
4,UP/allyl-PH: 50/50,57.0,201.0,800.0,61.0,18.0,3170.0,14.0,"['UP(0.5)', 'allyl-PH(0.5)']",j.polymdegradstab.2013.12.021
5,UP/allyl-PH: 50/50-RDP,47.0,151.0,570.0,40.0,13.6,3660.0,23.0,"['UP(0.5)', 'allyl-PH(0.5)', 'RDP']",j.polymdegradstab.2013.12.021
6,UP/allyl-PH: 50/50-BADP,51.0,153.0,590.0,42.0,13.5,4180.0,19.0,"['UP(0.5)', 'allyl-PH(0.5)', 'BADP']",j.polymdegradstab.2013.12.021
7,UP/allyl-PH: 50/50-DOPO,47.0,194.0,530.0,44.0,12.5,4220.0,18.0,"['UP(0.5)', 'allyl-PH(0.5)', 'DOPO']",j.polymdegradstab.2013.12.021
8,Allyl-PH,72.0,216.0,880.0,48.0,20.1,2210.0,27.0,['Allyl-PH'],j.polymdegradstab.2013.12.021
9,Allyl-PH: RDP,61.0,143.0,780.0,33.0,14.2,2410.0,37.0,"['Allyl-PH', 'RDP']",j.polymdegradstab.2013.12.021
10,Allyl-PH: BADP,67.0,130.0,830.0,35.0,16.4,2410.0,37.0,"['Allyl-PH', 'BADP']",j.polymdegradstab.2013.12.021
11,Allyl-PH: DOPO,83.0,171.0,540.0,32.0,11.8,3060.0,33.0,"['Allyl-PH', 'DOPO']",j.polymdegradstab.2013.12.021
12,UP/epoxy-PH: 70/30,39.0,148.0,885.0,54.0,18.0,2699.0,11.0,"['UP(0.7)', 'EP-PH(0.3)']",j.polymdegradstab.2013.12.021
13,UP/epoxy-PH: 70/30-RDP,44.0,143.0,558.0,38.0,12.2,4040.0,17.0,"['UP(0.7)', 'EP-PH(0.3)', 'RDP']",j.polymdegradstab.2013.12.021
14,UP/epoxy-PH: 70/30-BADP,42.0,157.0,565.0,45.0,16.0,4302.0,14.0,"['UP(0.7)', 'EP-PH(0.3)', 'BADP']",j.polymdegradstab.2013.12.021
15,UP/epoxy-PH: 70/30-DOPO,20.0,149.0,509.0,46.0,14.1,3645.0,14.0,"['UP(0.7)', 'EP-PH(0.3)', 'DOPO']",j.polymdegradstab.2013.12.021
16,UP/epoxy-PH: 50/50,34.0,151.0,682.0,50.0,18.9,2203.0,20.0,"['UP(0.5)', 'EP-PH(0.5)']",j.polymdegradstab.2013.12.021
17,UP/epoxy-PH: 50/50-RDP,45.0,139.0,528.0,36.0,12.0,3602.0,22.0,"['UP(0.5)', 'EP-PH(0.5)', 'RDP']",j.polymdegradstab.2013.12.021
