,Samples,Flame inhibition effect (%),Charring effect (%),Barrier and protective effect (%),LOI (%),UL-94,Unnamed: 4,DGEBA (g),DDM (g),APHP (g),APHP (wt%),DOPO (g),DOPO (wt%),P content (wt%),P Ratio in residues (%),Char yield (%),Initial P ratio in samples (%),Reserved P ratio in total P (%),Released P ratio in total P (%),Vectors,Ref
0,1%APHP/1%DOPO/EF,,,,,,,100.0,24.99,1.28,1.0,1.28,1.0,0.35,,,,,,"['(0.01)APHP', '(0.01)DOPO', 'EF']",j.polymdegradstab.2016.06.010
1,1%APHP/1%DOPO/EP,,,,31.7,Unrated,No,,,,,,,,,,,,,"['(0.01)APHP', '(0.01)DOPO', 'EP']",j.polymdegradstab.2016.06.010
2,1%APHP/2%DOPO/EP,,,,34.7,V-1,No,100.0,24.69,1.29,1.0,2.57,2.0,0.49,,,,,,"['(0.01)APHP', '(0.02)DOPO', 'EP']",j.polymdegradstab.2016.06.010
3,2%APHP/2%DOPO/EP,,,,37.2,V-1,No,100.0,24.68,2.6,2.0,2.6,2.0,0.69,,,,,,"['(0.02)APHP', '(0.02)DOPO', 'EP']",j.polymdegradstab.2016.06.010
4,2%APHP/4%DOPO/EP,41.2,17.4,28.2,39.5,V-0,No,100.0,24.07,2.64,2.0,5.28,4.0,0.98,4.86,16.8,0.98,83.7,16.3,"['(0.02)APHP', '(0.04)DOPO', 'EP']",j.polymdegradstab.2016.06.010
5,3%APHP/3%DOPO/EP,40.8,21.8,30.1,39.3,V-1,No,100.0,24.37,3.97,3.0,3.97,3.0,1.04,,,,,,"['(0.03)APHP', '(0.03)DOPO', 'EP']",j.polymdegradstab.2016.06.010
6,6% APHP/EP,,,,33.1,Unrated,No,,,,,,,,,,,,,"['(0.06)APHP', 'EP']",j.polymdegradstab.2016.06.010
7,6% DOPO/EP,,,,38.5,V-1,No,,,,,,,,,,,,,"['(0.06)DOPO', 'EP']",j.polymdegradstab.2016.06.010
8,6%APHP/EP,29.4,14.4,28.6,,,,100.0,25.28,8.0,6.0,-,-,1.22,4.66,15.0,1.22,57.4,42.6,"['(0.06)APHP', 'EP']",j.polymdegradstab.2016.06.010
9,6%DOPO/EP,36.8,9.2,15.4,,,,100.0,23.52,-,-,7.88,6.0,0.86,2.19,10.1,0.86,25.6,74.4,"['(0.06)DOPO', 'EP']",j.polymdegradstab.2016.06.010
10,EP,,,,26.2,Unrated,Yes,,,,,,,,0.0,6.0,0.0,0.0,0.0,['EP'],j.polymdegradstab.2016.06.010
11,Pure EP,,,,,,,100.0,25.28,-,-,-,-,-,,,,,,['EP'],j.polymdegradstab.2016.06.010
