,Samples,T(°C),T5% (°C),T10% (°C),Tmax (°C),Char yield (600 °C),Char yield (600 °C)_err,DGEBA (g),DDS (g),DPO-PHE (g),DOPO-PHE (g),P (wt%),Vectors,Ref
0,EP/DOPO-PHE-P-0.3,148.5,371.3,384.3,405.2,2.0,5.3,100.0,26.96,-,5.3,0.3,"['EP/DOPO', 'PHE', 'P(0.3)']",j.polymdegradstab.2018.08.007
1,EP/DOPO-PHE-P-0.5,152.2,362.7,376.7,400.9,2.0,6.1,100.0,25.85,-,9.01,0.5,"['EP/DOPO', 'PHE', 'P(0.5)']",j.polymdegradstab.2018.08.007
2,EP/DOPO-PHE-P-0.7,153.7,349.7,369.7,400.5,2.0,7.2,100.0,24.7,-,12.87,0.7,"['EP/DOPO', 'PHE', 'P(0.7)']",j.polymdegradstab.2018.08.007
3,EP/DOPO-PHE-P-0.9,147.0,344.7,364.0,397.6,2.0,7.8,100.0,23.49,-,16.89,0.9,"['EP/DOPO', 'PHE', 'P(0.9)']",j.polymdegradstab.2018.08.007
4,EP/DPO-PHE-P-0.3,155.6,379.3,391.3,413.2,2.0,1.5,100.0,26.97,5.12,-,0.3,"['EP/DPO', 'PHE', 'P(0.3)']",j.polymdegradstab.2018.08.007
5,EP/DPO-PHE-P-0.5,154.0,369.7,384.7,408.6,2.0,2.7,100.0,25.86,8.69,-,0.5,"['EP/DPO', 'PHE', 'P(0.5)']",j.polymdegradstab.2018.08.007
6,EP/DPO-PHE-P-0.7,151.6,366.3,379.7,404.2,2.0,4.8,100.0,24.71,12.4,-,0.7,"['EP/DPO', 'PHE', 'P(0.7)']",j.polymdegradstab.2018.08.007
7,EP/DPO-PHE-P-0.9,154.4,353.7,375.0,405.9,2.0,5.3,100.0,23.25,16.31,-,0.9,"['EP/DPO', 'PHE', 'P(0.9)']",j.polymdegradstab.2018.08.007
8,EP/P-0,144.0,388.3,395.5,415.9,1.0,9.1,100.0,28.55,-,-,0.0,['EP/P(0)'],j.polymdegradstab.2018.08.007
9,Samples,2.0,3.0,3.0,3.0,(wt%) ,0.2,,,,,,['Samples'],j.polymdegradstab.2018.08.007
