,Samples,T5% (°C),Tmax (°C),Rate at Tmax (%/°C),Residue (700 °C) (wt%),EP (%),DDM (%),APP (%),BPOPA (%),APP: BPOPA,UL-94,LOI (%),LOI (%)_err,TTI (s),PHRR (MJ/m²),Tp (s),FIGRA (kW/m²s),THR (MJ/m²),PSPR (m²/s),TSP (m²),EHC (MJ/kg),Residue (wt%),TTI (s)_err,PHRR (MJ/m²)_err,Tp (s)_err,THR (MJ/m²)_err,PSPR (m²/s)_err,TSP (m²)_err,EHC (MJ/kg)_err,Residue (wt%)_err,C (wt%),O (wt%),N (wt%),P (wt%),Vectors,Ref
0,APP,327.2,325.4,0.3,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['APP'],j.polymdegradstab.2019.02.021
1,EP,355.8,380.5,1.4,20.2,80.0,20.0,0.0,0.0,-,NR,26.2,0.2,59.0,1063.0,130.0,8.2,76.1,0.55,71.4,23.5,11.9,1.0,35.0,4.0,2.0,0.02,2.5,1.0,0.5,,,,,['EP'],j.polymdegradstab.2019.02.021
2,EP/10APP,326.0,348.5,1.7,28.8,72.0,18.0,10.0,0.0,-,NR,30.2,0.3,63.0,754.0,105.0,7.18,42.8,0.43,30.6,21.1,45.7,2.0,27.0,2.0,1.5,0.01,1.6,0.8,1.5,70.02,20.02,4.87,5.09,"['EP', '(10)APP']",j.polymdegradstab.2019.02.021
3,EP/10APP/5BPOPA,,,,,68.0,17.0,10.0,5.0,2.0,V-0,35.0,0.3,,,,,,,,,,,,,,,,,,,,,,"['EP', '(10)APP', '5BPOPA']",j.polymdegradstab.2019.02.021
4,EP/11.25APP/3.75BPOPA,,,,,68.0,17.0,11.25,3.75,3.0,V-0,37.0,0.2,,,,,,,,,,,,,,,,,,,,,,"['EP', '(11.25)APP', '3.75BPOPA']",j.polymdegradstab.2019.02.021
5,EP/12APP/3BPOPA,,,,,68.0,17.0,12.0,3.0,4.0,V-0,36.0,0.2,,,,,,,,,,,,,,,,,,,,,,"['EP', '(12)APP', '3BPOPA']",j.polymdegradstab.2019.02.021
6,EP/20APP,,,,,64.0,16.0,20.0,0.0,-,NR,37.5,0.3,,,,,,,,,,,,,,,,,,,,,,"['EP', '(20)APP']",j.polymdegradstab.2019.02.021
7,EP/20BPOPA,,,,,64.0,16.0,0.0,20.0,-,NR,28.0,0.3,,,,,,,,,,,,,,,,,,,,,,"['EP', '20BPOPA']",j.polymdegradstab.2019.02.021
8,EP/6APP/2BPOPA,,,,,73.6,18.4,6.0,2.0,3.0,NR,31.2,0.3,,,,,,,,,,,,,,,,,,,,,,"['EP', '(6)APP', '2BPOPA']",j.polymdegradstab.2019.02.021
9,EP/7.5APP/2.5BPOPA,314.9,344.9,1.4,26.2,72.0,18.0,7.5,2.5,3.0,V-0,33.1,0.3,61.0,576.0,100.0,5.76,42.6,0.28,25.9,21.3,47.2,1.0,30.0,2.0,2.0,0.01,1.0,1.0,2.0,79.02,12.89,5.4,2.69,"['EP', '(7.5)APP', '2.5BPOPA']",j.polymdegradstab.2019.02.021
10,EP/7.5APP/7.5BPOPA,,,,,68.0,17.0,7.5,7.5,1.0,V-0,36.3,0.2,,,,,,,,,,,,,,,,,,,,,,"['EP', '(7.5)APP', '7.5BPOPA']",j.polymdegradstab.2019.02.021
