,Samples,PHRR (W/g),THR (kJ g-1),Tp (°C),TTI (s),THR (MJ/m²),PHRR (kW/m²),EHC (MJ/kg),Tp (s),FIGRA (kW/m²s),TSP (m²),Residue (wt%),DGEBA (g),DDM (g),FR (PNP/PNS) (g),P contents (wt%) PNP,P contents (wt%) PNS,P contents b PNP (wt%),P contents (wt%)b PNS,P contents b PNP (wt%)_err,P contents (wt%)b PNS_err,T5% (°C),Tmax (°C),amax (% °C-1),Residue at 700 °C (wt%) Test values,Residue at 700 °C (wt%) Calculated values,Vectors,Ref
0,EP,727.3,36.4,396.6,72.0,95.0,1010.0,25.0,141.0,7.17,89.0,6.9,80.0,21.5,/,/,/,,,/,/,372.9,392.1,2.0,16.2,/,['EP'],j.polymdegradstab.2019.07.004
1,EP/3 wt%FR,,,,,,,,,,,,80.0,21.5,3.1,0.32,0.27,0.35,0.31,0.02,0.03,,,,,,"['EP', '(0.03)FR']",j.polymdegradstab.2019.07.004
2,EP/3 wt%PNP,601.7,33.6,390.5,,,,,,,,,,,,,,,,,,368.9,390.7,1.67,19.0,15.9,"['EP', '(0.03)PNP']",j.polymdegradstab.2019.07.004
3,EP/3 wt%PNS,393.4,29.5,385.7,,,,,,,,,,,,,,,,,,354.1,390.3,1.21,21.6,16.5,"['EP', '(0.03)PNS']",j.polymdegradstab.2019.07.004
4,EP/5 wt%FR,,,,,,,,,,,,80.0,21.5,5.3,0.52,0.45,0.53,0.47,0.02,0.03,,,,,,"['EP', '(0.05)FR']",j.polymdegradstab.2019.07.004
5,EP/5 wt%PNP,538.4,33.5,387.0,,,,,,,,,,,,,,,,,,363.4,392.1,1.46,19.4,15.7,"['EP', '(0.05)PNP']",j.polymdegradstab.2019.07.004
6,EP/5 wt%PNS,353.2,29.4,379.6,,,,,,,,,,,,,,,,,,354.1,374.9,0.97,22.9,16.8,"['EP', '(0.05)PNS']",j.polymdegradstab.2019.07.004
7,EP/7 wt%FR,,,,,,,,,,,,80.0,21.5,7.6,0.74,0.63,0.8,0.71,0.01,0.02,,,,,,"['EP', '(0.07)FR']",j.polymdegradstab.2019.07.004
8,EP/7 wt%PNP,531.0,33.5,388.3,54.0,61.0,748.0,21.0,120.0,6.24,45.0,15.0,,,,,,,,,,358.9,391.2,1.31,20.1,15.6,"['EP', '(0.07)PNP']",j.polymdegradstab.2019.07.004
9,EP/7 wt%PNS,317.0,28.8,374.1,67.0,82.0,520.0,23.0,125.0,4.16,32.0,15.7,,,,,,,,,,333.8,387.4,0.87,23.8,17.0,"['EP', '(0.07)PNS']",j.polymdegradstab.2019.07.004
