,Samples,T5% (°C),Tmax (°C),Rmax (%/min),Char residue (800 °C) (%),Tg (°C),E (50 °C) (MPa),E' (Tg + 40°C) (MPa),Ve (mol/m³),TTI (s),PHRR (kW/m²),THR (MJ/m²),TTP (s),EHC (MJ/kg),TSP (m²),COY (kg/kg),FIGRA (kW/m²s),Residue (%,EHC (MJ/kg)_err,TSP (m²)_err,COY (kg/kg)_err,FIGRA (kW/m²s)_err,Residue (%_err,Vectors,Ref
0,EP,371.0,388.0,17.0,18.1,,,,,,,,,,,,,,,,,,,['EP'],j.polymdegradstab.2021.109548
1,EP/VFD-5,349.0,380.0,12.4,19.5,,,,,,,,,,,,,,,,,,,"['EP', 'VFD(5)']",j.polymdegradstab.2021.109548
2,EP/VFD-7.5,341.0,375.0,12.0,19.2,,,,,,,,,,,,,,,,,,,"['EP', 'VFD(7.5)']",j.polymdegradstab.2021.109548
3,EP/VFD-10,333.0,371.0,11.3,20.0,,,,,,,,,,,,,,,,,,,"['EP', 'VFD(10)']",j.polymdegradstab.2021.109548
4,EP/VFD-12.5,332.0,368.0,10.7,24.5,,,,,,,,,,,,,,,,,,,"['EP', 'VFD(12.5)']",j.polymdegradstab.2021.109548
5,Cal-EP/VFD,364.0,388.0,,18.8,,,,,,,,,,,,,,,,,,,"['Cal-EP', 'VFD']",j.polymdegradstab.2021.109548
6,EP,371.0,388.0,,18.1,164.0,2273.0,49.5,4159.0,55.0,141941.0,80.0,1322.0,25.4,26.3,0.071,10.8,12.0,0.9,2.1,0.005,0.5,2.2,['EP'],j.polymdegradstab.2021.109548
7,EP/VFD-10,,,,,149.0,2510.0,36.9,3201.0,60.0,982.0,71.0,1202.0,24.4,23.7,0.091,8.2,19.5,1.0,1.4,0.005,0.5,1.2,"['EP', 'VFD(10)']",j.polymdegradstab.2021.109548
8,EP/VFD-12.5,,,,,146.0,2407.0,31.2,2724.0,61.0,941.0,66.0,1272.0,22.7,23.3,0.099,7.4,19.9,1.2,1.2,0.005,0.4,1.2,"['EP', 'VFD(12.5)']",j.polymdegradstab.2021.109548
9,EP/VFD-5,,,,,155.0,2486.0,45.4,3888.0,59.0,123438.0,753.0,124.0,24.8,23.7,0.079,10.0,16.7,1.1,1.4,0.002,0.5,1.3,"['EP', 'VFD(5)']",j.polymdegradstab.2021.109548
10,EP/VFD-7.5,,,,,150.0,2668.0,36.8,3185.0,632.0,1022.0,72.0,1322.0,24.3,23.7,0.081,7.7,18.2,1.1,1.0,0.004,0.5,1.2,"['EP', 'VFD(7.5)']",j.polymdegradstab.2021.109548
11,Exp-EP/VFD,332.0,368.0,,24.5,,,,,,,,,,,,,,,,,,,"['Exp-EP', 'VFD']",j.polymdegradstab.2021.109548
12,VFD,212.0,212.0,,23.9,,,,,,,,,,,,,,,,,,,['VFD'],j.polymdegradstab.2021.109548
