,Samples,Young's modulus (GPa),Flexural modulus (GPa),Young's modulus (GPa)_err,Flexural modulus (GPa)_err,Vectors,Ref
0,"CL-O, MST-60, ST-30",0.79,3.3,0.312,1.135,"['CL', 'O,MST', '(60),ST30']",pj.2011.140
1,"CL-0.5, MST-60, ST-30",1.18,6.98,0.438,0.302,"['CL', '0.5,MST', '(60),ST30']",pj.2011.140
2,"CL-1, MST-60, ST-30",1.92,6.93,0.215,0.232,"['CL', '1,MST', '(60),ST30']",pj.2011.140
3,"CL-2, MST-60, ST-30",1.93,5.35,0.064,0.736,"['CL', '2,MST', '(60),ST30']",pj.2011.140
4,"CL-2, MST-120, ST-30",2.12,6.5,0.131,0.328,"['CL', '2,MST', '(120),ST30']",pj.2011.140
5,"CL-2, MST-180, ST-30",2.0,6.75,0.121,0.284,"['CL', '2,MST', '(180),ST30']",pj.2011.140
6,"CL-2, MST-120, ST-15",1.91,5.73,0.104,0.325,"['CL', '2,MST', '(120),ST15']",pj.2011.140
7,"CL-2, MST-120, ST-45",2.06,6.75,0.073,0.179,"['CL', '2,MST', '(120),ST45']",pj.2011.140
8,"CL-0, MST-60, ST-30",0.79,3.3,0.312,1.135,"['CL', '0,MST', '(60),ST30']",pj.2011.140
9,"CL-0.5, MST-60, ST-30",1.69,7.7,0.188,0.283,"['CL', '0.5,MST', '(60),ST30']",pj.2011.140
10,"CL-1, MST-60, ST-30",1.91,6.72,0.317,0.207,"['CL', '1,MST', '(60),ST30']",pj.2011.140
11,"CL-2, MST-120, ST-15",2.01,5.49,0.118,0.249,"['CL', '2,MST', '(120),ST15']",pj.2011.140
12,"CL-2, MST-120, ST-30",2.3,7.0,0.135,0.745,"['CL', '2,MST', '(120),ST30']",pj.2011.140
13,"CL-2, MST-120, ST-45",2.11,6.49,0.192,0.163,"['CL', '2,MST', '(120),ST45']",pj.2011.140
14,"CL-2, MST-180, ST-30",2.02,8.08,0.364,1.284,"['CL', '2,MST', '(180),ST30']",pj.2011.140
15,"CL-2, MST-60, ST-30",1.96,7.41,0.208,0.564,"['CL', '2,MST', '(60),ST30']",pj.2011.140
