,Samples,EP (wt%),CF-PO(OPh)2 (wt%),CF-POPh2 (wt%),CF-PPh2 (wt%),Vectors,Ref
0,EP,100.0,0.0,0.0,0.0,['EP'],j.cej.2021.130192_4_0
1,EP/CF-PO (OPh)2-2.5,97.5,2.5,0.0,0.0,"['EP', 'CF-PO(OPh)2(2.5)']",j.cej.2021.130192_4_0
2,EP/CF-PO (OPh)2-5,95.0,5.0,0.0,0.0,"['EP', 'CF-PO(OPh)2-5']",j.cej.2021.130192_4_0
3,EP/CF-PO (OPh)2-10,90.0,10.0,0.0,0.0,"['EP', 'CF-PO(OPh)2(10)']",j.cej.2021.130192_4_0
4,EP/CF-POPh2-2.5,97.5,0.0,2.5,0.0,"['EP', 'CF-POPh2(2.5)']",j.cej.2021.130192_4_0
5,EP/CF-POPh2-5,95.0,0.0,5.0,0.0,"['EP', 'CF-POPh2-5']",j.cej.2021.130192_4_0
6,EP/CF-POPh2-10,90.0,0.0,10.0,0.0,"['EP', 'CF-POPh2(10)']",j.cej.2021.130192_4_0
7,EP/CF-PPh2-2.5,97.5,0.0,0.0,2.5,"['EP', 'CF-PPh2(2.5)']",j.cej.2021.130192_4_0
8,EP/CF-PPh2-5,95.0,0.0,0.0,5.0,"['EP', 'CF-PPh2-5']",j.cej.2021.130192_4_0
9,EP/CF-PPh2-10,90.0,0.0,0.0,10.0,"['EP', 'CF-PPh2(10)']",j.cej.2021.130192_4_0
