,Samples,Table I,Abbreviations and basic properties of raw,materials,Vectors,Ref
0,Reagent,abbreviation,basic propertie,Supplier,['Reagent'],j.compositesb.2018.11.122_22_0
1,Epoxy resin,EP,epoxide equivalent: 185-208 g/eq,Wuhuigang Adhesive,['EP'],j.compositesb.2018.11.122_22_0
2,Polyamide 650,PA,amine value: 220 20 mgKOH/g,Wuxi Resin Factory,['Polyamide(650)'],j.compositesb.2018.11.122_22_0
3,Multi-walled carbon nanotubes,MWCNTs,inner and outer diameters: 4 and 12 nm; lengths: ~ 12 um; carbon purity: > 95 %,Hengqiu Graphene Science & Technology,"['Multi', 'walledcarbonnanotubes']",j.compositesb.2018.11.122_22_0
4,Diethanolamine,DA,analytical grade,Tianjin Damao Chemical reagent factory,['Diethanolamine'],j.compositesb.2018.11.122_22_0
5,Methyl acrylate,MA,analytical grade,Chemical,['Methylacrylate'],j.compositesb.2018.11.122_22_0
6,y-Aminopropyl triethoxysilane,y-APS,analytical grade,Sinopharm Reagent,"['y', 'Aminopropyltriethoxysilane']",j.compositesb.2018.11.122_22_0
7,Oleic acid,OA,analytical grade,Shanpu Chemical Reagent,['Oleicacid'],j.compositesb.2018.11.122_22_0
8,Methanol,,analytical grade,,['Methanol'],j.compositesb.2018.11.122_22_0
9,H2O2,,30 wt%,Chengdu Kelong,['H(2)O2'],j.compositesb.2018.11.122_22_0
10,toluene,,analytical grade,Chemical Reagent,['toluene'],j.compositesb.2018.11.122_22_0
