,Samples,CMWCNT(CNF)-mix (W/V)b,0,Vectors,Ref
0,CNT/PA/E000,0.0,0.0,"['CNT', 'PA', 'E(000)']",j.compositesb.2019.107299_2_0
1,CNT/PA/E001,0.0002,0.01,"['CNT', 'PA', 'E(001)']",j.compositesb.2019.107299_2_0
2,CNT/PA/E010,0.0017,0.1,"['CNT', 'PA', 'E(010)']",j.compositesb.2019.107299_2_0
3,CNT/PA/E050,0.0085,0.5,"['CNT', 'PA', 'E(050)']",j.compositesb.2019.107299_2_0
4,CNT/PA/E100,0.017,1.0,"['CNT', 'PA', 'E(100)']",j.compositesb.2019.107299_2_0
5,CNT/PA/E165,0.2805,16.5,"['CNT', 'PA', 'E(165)']",j.compositesb.2019.107299_2_0
6,CNF/PA/E000,0.0,0.0,"['CNF', 'PA', 'E(000)']",j.compositesb.2019.107299_2_0
7,CNF/PA/E001,0.0002,0.01,"['CNF', 'PA', 'E(001)']",j.compositesb.2019.107299_2_0
8,CNF/PA/E010,0.0016,0.1,"['CNF', 'PA', 'E(010)']",j.compositesb.2019.107299_2_0
9,CNF/PA/E050,0.0084,0.5,"['CNF', 'PA', 'E(050)']",j.compositesb.2019.107299_2_0
10,CNF/PA/E100,0.0169,1.0,"['CNF', 'PA', 'E(100)']",j.compositesb.2019.107299_2_0
11,CNF/PA/E165,0.2789,16.5,"['CNF', 'PA', 'E(165)']",j.compositesb.2019.107299_2_0
12,CNT/E000,0.0,0.0,"['CNT', 'E(000)']",j.compositesb.2019.107299_2_0
13,CNT/E001,0.0002,0.01,"['CNT', 'E(001)']",j.compositesb.2019.107299_2_0
14,CNT/E010,0.0019,0.1,"['CNT', 'E(010)']",j.compositesb.2019.107299_2_0
15,CNT/E050,0.0089,0.5,"['CNT', 'E(050)']",j.compositesb.2019.107299_2_0
16,CNT/E100,0.0177,1.0,"['CNT(0)', 'E(1.0)']",j.compositesb.2019.107299_2_0
17,CNT/E165,0.3211,16.5,"['CNT', 'E(165)']",j.compositesb.2019.107299_2_0
18,CNF/E000,0.0,0.0,"['CNF', 'E(000)']",j.compositesb.2019.107299_2_0
19,CNF/E001,0.0002,0.01,"['CNF', 'E(001)']",j.compositesb.2019.107299_2_0
20,CNF/E010,0.0018,0.1,"['CNF', 'E(010)']",j.compositesb.2019.107299_2_0
21,CNF/E050,0.0092,0.5,"['CNF', 'E(050)']",j.compositesb.2019.107299_2_0
22,CNF/E100,0.0183,1.0,"['CNF(0)', 'E(1.0)']",j.compositesb.2019.107299_2_0
23,CNF/E165,0.3585,16.5,"['CNF', 'E(165)']",j.compositesb.2019.107299_2_0
