,Samples,Immersion time (day),Re (MO cm²,CPE Yo (ns2⁻¹cm⁻²S),CPE n,Ret (MO cm²,"CPEd Yo(use cm S "")",CPEd n,R1 (Ω.cm²),Log Z f=0.01 Hz,CC (nF.cm⁻²),Log (fb) (Hz),Vectors,Ref
0,EP,,,,,,,,,,,,['EP'],j.compositesb.2021.108713_11_0
1,,5.0,2408.0,1.0,0.85,-,-,-,2408.0,234.0,1.17,1.07,[''],j.compositesb.2021.108713_11_0
2,,25.0,2.61,3.13,0.96,7.82,0.53,0.71,10.43,9.55,2.57,1.92,[''],j.compositesb.2021.108713_11_0
3,,50.0,0.26,5.92,0.95,0.065,88.9,0.61,0.33,0.26,4.22,2.99,[''],j.compositesb.2021.108713_11_0
4,MSN@EP,,,,,,,,,,,,"['MSN', 'EP']",j.compositesb.2021.108713_11_0
5,,5.0,857.3,1.24,0.94,-,-,-,857.3,849.0,1.24,0.74,[''],j.compositesb.2021.108713_11_0
6,,25.0,106.2,2.14,0.88,-,-,-,106.2,106.0,1.75,0.22,[''],j.compositesb.2021.108713_11_0
7,,50.0,21.55,3.69,0.91,-,-,-,21.5,21.54,2.89,0.91,[''],j.compositesb.2021.108713_11_0
8,PANI-,,,,,,,,,,,,['PANI-'],j.compositesb.2021.108713_11_0
9,MSN@EP,5.0,2414.0,1.06,0.95,-,-,-,2414.0,2338.0,1.12,1.15,"['MSN', 'EP']",j.compositesb.2021.108713_11_0
10,,25.0,1511.0,1.15,0.95,-,-,-,1511.0,1872.0,1.18,1.07,[''],j.compositesb.2021.108713_11_0
11,,50.0,1906.0,1.21,0.96,-,-,-,1906.0,1488.0,1.25,0.96,[''],j.compositesb.2021.108713_11_0
