,Samples,Power law index (n),Surface tension (mN/m),Vectors,Ref
0,15% TPU,0.21,,['(0.15)TPU'],j.compscitech.2016.03.031_24_0
1,20% TPU,0.11,,['(0.2)TPU'],j.compscitech.2016.03.031_24_0
2,25% TPU,-,,['(0.25)TPU'],j.compscitech.2016.03.031_24_0
3,15% TPU-5%GNP,0.83,-,"['(0.15)TPU', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
4,20% TPU-5%GNP,0.8,-,"['(0.2)TPU', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
5,25% TPU-5%GNP,0.73,-,"['(0.25)TPU', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
6,10% PR-10%PVP,0.98,49.0,"['(0.1)PR', '(0.1)PVP']",j.compscitech.2016.03.031_24_0
7,15% PR-10%PVP,0.79,-,"['(0.15)PR', '(0.1)PVP']",j.compscitech.2016.03.031_24_0
8,20% PR-10%PVP,0.53,-,"['(0.2)PR', '(0.1)PVP']",j.compscitech.2016.03.031_24_0
9,10% PR-10%PVP -5%GNP,0.24,76.0,"['(0.1)PR', '(0.1)PVP', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
10,15% PR-10%PVP-5%GNP,0.32,-,"['(0.15)PR', '(0.1)PVP', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
11,20% PR-10%PVP-5%GNP,0.75,-,"['(0.2)PR', '(0.1)PVP', '(0.05)GNP']",j.compscitech.2016.03.031_24_0
