,Samples,Heating rate,Tonset (°C),Tpb(°C),AHcure,,Ead (KJ mol ¹),A (min⁻¹),Ke (min-1),Vectors,Ref
0,EP/TETA,5.0,42.6,92.1,392.1,45.9,49.6,8.76,0.98,"['EP', 'TETA']",j.compscitech.2016.10.014_8_0
1,,10.0,53.0,100.1,399.1,,,,,[''],j.compscitech.2016.10.014_8_0
2,,15.0,65.4,114.8,409.1,,,,,[''],j.compscitech.2016.10.014_8_0
3,,20.0,79.0,121.5,407.2,,,,,[''],j.compscitech.2016.10.014_8_0
4,"0,25 GO/EP/TETA",5.0,42.1,90.4,394.2,49.9,50.7,3.56,1.0,"['(0.25)GO', 'EP', 'TETA']",j.compscitech.2016.10.014_8_0
5,,10.0,51.5,99.4,403.7,,,,,[''],j.compscitech.2016.10.014_8_0
6,,15.0,62.6,112.6,407.3,,,,,[''],j.compscitech.2016.10.014_8_0
7,,20.0,76.3,119.7,409.7,,,,,[''],j.compscitech.2016.10.014_8_0
8,"0,25 I-GO/EP/TETA",5.0,42.3,90.2,395.6,49.7,53.2,3.58,1.1,"['(0.25)I-GO', 'EP', 'TETA']",j.compscitech.2016.10.014_8_0
9,,10.0,52.1,99.0,406.0,,,,,[''],j.compscitech.2016.10.014_8_0
10,,15.0,61.3,111.2,407.8,,,,,[''],j.compscitech.2016.10.014_8_0
11,,20.0,73.8,118.1,410.3,,,,,[''],j.compscitech.2016.10.014_8_0
12,0.25 PVI-g-GO/EP/TETA,5.0,41.7,85.2,405.7,42.4,46.2,3.2,1.2,"['(0.25)PVI-g-GO', 'EP', 'TETA']",j.compscitech.2016.10.014_8_0
13,,10.0,49.5,97.7,430.5,,,,,[''],j.compscitech.2016.10.014_8_0
14,,15.0,56.3,109.7,436.8,,,,,[''],j.compscitech.2016.10.014_8_0
15,,20.0,72.2,117.9,446.0,,,,,[''],j.compscitech.2016.10.014_8_0
