,Samples,nm (Pa.s),A,R (um),t (min),NEP,e,E (50 °C) (MPa),Vectors,E (50 °C) (MPa)_err,Ref
0,SR-1/EP-1/ GF-KH560,,0.0006,4.2,60.0,0.68,0.4,461.0,"['SR', '(1)/EP', '(1)/GF', 'KH(560)']",8.0,j.compscitech.2021.108789_4_0
1,,,,,30.0,0.66,0.36,397.0,[''],10.0,j.compscitech.2021.108789_4_0
2,,,,,10.0,0.62,0.34,348.0,[''],6.0,j.compscitech.2021.108789_4_0
3,,,,,5.0,0.58,0.32,309.0,[''],8.0,j.compscitech.2021.108789_4_0
4,SR-1/EP-2/ GF-KH560,1370.0,0.04,4.3,60.0,0.67,0.38,421.0,"['SR', '(1)/EP', '(2)/GF', 'KH(560)']",13.0,j.compscitech.2021.108789_4_0
5,,,,,5.0,0.58,0.32,300.0,[''],7.0,j.compscitech.2021.108789_4_0
6,SR-1/EP-3/ GF-KH560,,0.34,4.9,60.0,0.6,0.33,333.0,"['SR', '(1)/EP', '(3)/GF', 'KH(560)']",6.0,j.compscitech.2021.108789_4_0
7,,,,,5.0,0.57,0.31,296.0,[''],4.0,j.compscitech.2021.108789_4_0
8,SR-2/EP-1/ GF-KH560,,0.02,5.6,60.0,0.72,0.48,619.0,"['SR', '(2)/EP', '(1)/GF', 'KH(560)']",8.0,j.compscitech.2021.108789_4_0
9,SR-2/EP-2/ GF-KH560,45.0,1.1,3.9,60.0,0.65,0.45,567.0,"['SR', '(2)/EP', '(2)/GF', 'KH(560)']",3.0,j.compscitech.2021.108789_4_0
10,SR-2/EP-3/ GF-KH560,,10.0,7.7,60.0,0.74,0.53,685.0,"['SR', '(2)/EP', '(3)/GF', 'KH(560)']",13.0,j.compscitech.2021.108789_4_0
11,,,,,5.0,0.68,0.48,605.0,[''],10.0,j.compscitech.2021.108789_4_0
12,SR-3/EP-1/ GF-KH560,,0.1,10.1,60.0,0.81,0.66,968.0,"['SR', '(3)/EP', '(1)/GF', 'KH(560)']",2.0,j.compscitech.2021.108789_4_0
13,SR-3/EP-2/ GF-KH560,8.0,6.2,14.1,60.0,0.86,0.71,1015.0,"['SR', '(3)/EP', '(2)/GF', 'KH(560)']",24.0,j.compscitech.2021.108789_4_0
14,SR-3/EP-3/ GF-KH560,,58.0,17.8,60.0,0.93,0.76,1150.0,"['SR', '(3)/EP', '(3)/GF', 'KH(560)']",30.0,j.compscitech.2021.108789_4_0
15,,,,,5.0,0.92,0.75,1112.0,[''],18.0,j.compscitech.2021.108789_4_0
