,Samples,Peak temperature (°C),Curing time (min),Shrinkage (%),Vectors,Peak temperature (°C)_err,Curing time (min)_err,Shrinkage (%)_err,Ref
0,"Filler level (%, by weight)",,,,"['Fillerlevel(%,byweight)']",,,,j.eurpolymj.2004.03.005_7_0
1,50,49.2,5.3,4.54,['(50)'],2.0,0.8,0.33,j.eurpolymj.2004.03.005_7_0
2,67,38.5,3.5,3.1,['(67)'],1.2,0.5,0.13,j.eurpolymj.2004.03.005_7_0
3,75,32.8,3.3,2.42,['(75)'],1.2,0.3,0.3,j.eurpolymj.2004.03.005_7_0
4,80,28.4,7.5,2.21,['(80)'],0.7,0.4,0.25,j.eurpolymj.2004.03.005_7_0
5,Oligomer/diluent ratio (by weight)),,,,"['Oligomer', 'diluentratio(byweight)']",,,,j.eurpolymj.2004.03.005_7_0
6,70/30 (BTTEMAT/TEGDMA),26.6,8.3,2.06,"['BTTEMAT(0.7)', 'TEGDMA(0.3)']",0.5,0.8,0.33,j.eurpolymj.2004.03.005_7_0
7,40/60 (BTTEMAT/TEGDMA),29.7,4.3,3.12,"['BTTEMAT(0.4)', 'TEGDMA(0.6)']",1.2,0.4,0.49,j.eurpolymj.2004.03.005_7_0
8,30/70 (BTTEMAT/TEGDMA),31.1,3.8,4.0,"['BTTEMAT(0.3)', 'TEGDMA(0.7)']",0.4,0.3,0.29,j.eurpolymj.2004.03.005_7_0
9,40/60 (BTTEMAT/TMPTMA),32.7,4.3,2.55,"['BTTEMAT(0.4)', 'TMPTMA(0.6)']",0.6,0.3,0.36,j.eurpolymj.2004.03.005_7_0
10,40/60 (BTTEMAT/EB-40),37.0,3.8,0.57,"['BTTEMAT(0.4)', 'EB-40(0.6)']",0.7,0.5,0.21,j.eurpolymj.2004.03.005_7_0
11,40/40/20 (BTTEMAT/TEGDMA/TMPTMA),32.8,3.3,2.42,"['BTTEMAT(0.4)', 'TEGDMA(0.4)', 'TMPTMA(0.2)']",1.2,0.3,0.3,j.eurpolymj.2004.03.005_7_0
