,Samples,Temperature (°C),Carbon (wt%),Oxygen (wt%),Phosphorus (wt%),P/C (%),P/O (%),Vectors,Carbon (wt%)_err,Oxygen (wt%)_err,Phosphorus (wt%)_err,Ref
0,Epoxy,RT,82.2,17.8,,,,['EP'],0.0,0.0,0.0,j.eurpolymj.2013.06.009_9_0
1,,100.0,73.5,26.2,0.2,,,[''],0.6,0.6,0.1,j.eurpolymj.2013.06.009_9_0
2,,200.0,72.1,27.4,0.4,,,[''],0.0,0.2,0.2,j.eurpolymj.2013.06.009_9_0
3,,300.0,75.2,24.4,0.4,,,[''],0.1,0.2,0.1,j.eurpolymj.2013.06.009_9_0
4,,400.0,71.3,25.9,,,,[''],2.0,1.7,0.0,j.eurpolymj.2013.06.009_9_0
5,EP + TPP,RT,79.2,20.3,0.5,0.6,2.5,"['EP', 'TPP']",2.7,2.5,0.2,j.eurpolymj.2013.06.009_9_0
6,,100.0,73.0,25.7,1.0,1.4,4.0,[''],0.5,0.4,0.2,j.eurpolymj.2013.06.009_9_0
7,,200.0,77.4,21.3,1.3,1.7,6.3,[''],0.2,0.4,0.1,j.eurpolymj.2013.06.009_9_0
8,,300.0,86.2,12.8,1.0,1.1,7.7,[''],0.5,0.6,0.0,j.eurpolymj.2013.06.009_9_0
9,,400.0,75.5,23.3,1.1,1.5,5.0,[''],3.5,3.4,0.2,j.eurpolymj.2013.06.009_9_0
10,EP + TPP,RT,82.3,17.0,0.6,0.8,5.9,"['EP', 'TPP']",0.6,0.5,0.1,j.eurpolymj.2013.06.009_9_0
11,,100.0,75.7,23.9,0.5,0.6,2.0,[''],0.6,0.6,0.0,j.eurpolymj.2013.06.009_9_0
12,,200.0,75.2,24.2,0.6,0.8,2.4,[''],0.4,0.5,0.1,j.eurpolymj.2013.06.009_9_0
13,,300.0,86.0,13.0,1.1,1.3,8.8,[''],0.2,0.3,0.1,j.eurpolymj.2013.06.009_9_0
14,,400.0,84.0,14.8,1.3,1.6,9.1,[''],0.5,0.5,0.2,j.eurpolymj.2013.06.009_9_0
15,EP + TPPO,RT,79.0,20.6,0.4,0.5,1.9,"['EP', 'TPPO']",0.9,0.9,0.1,j.eurpolymj.2013.06.009_9_0
16,,100.0,78.9,20.8,0.3,0.4,1.4,[''],0.7,1.1,0.1,j.eurpolymj.2013.06.009_9_0
17,,200.0,77.9,21.6,0.6,0.7,2.6,[''],0.8,0.8,0.0,j.eurpolymj.2013.06.009_9_0
18,,300.0,78.1,21.4,0.5,0.6,2.2,[''],0.6,0.6,0.1,j.eurpolymj.2013.06.009_9_0
19,,400.0,83.7,15.8,0.4,0.5,2.8,[''],0.4,0.5,0.1,j.eurpolymj.2013.06.009_9_0
