,Samples,DGEBA (wt%),DGEBA mol (%),PEI-Si (wt%),PEI-Si mol (%),TEOS (wt%),TEOS mol (%),GPTMS (wt%),GPTMS mol (%),Vectors,Ref
0,Neat,50.0,96.0,50.0,4.0,-,-,-,-,['EP'],j.eurpolymj.2015.06.029_4_0
1,10% TEOS,45.0,80.4,45.0,3.5,10.0,16.1,-,-,['(0.1)TEOS'],j.eurpolymj.2015.06.029_4_0
2,20% TEOS,40.0,67.5,40.0,3.1,20.0,29.4,-,-,['(0.2)TEOS'],j.eurpolymj.2015.06.029_4_0
3,30% TEOS,35.0,56.2,35.0,2.4,30.0,41.4,-,-,['(0.3)TEOS'],j.eurpolymj.2015.06.029_4_0
4,40% TEOS,30.0,45.0,30.0,2.0,40.0,53.0,-,-,['(0.4)TEOS'],j.eurpolymj.2015.06.029_4_0
5,10% GPTMS,45.0,82.5,45.0,3.5,-,-,10.0,14.0,['(0.1)GPTMS'],j.eurpolymj.2015.06.029_4_0
6,20% GPTMS,40.0,71.1,40.0,3.0,-,-,20.0,25.9,['(0.2)GPTMS'],j.eurpolymj.2015.06.029_4_0
7,30% GPTMS,35.0,58.0,35.0,2.5,-,-,30.0,39.5,['(0.3)GPTMS'],j.eurpolymj.2015.06.029_4_0
8,40% GPTMS,30.0,47.4,30.0,2.0,-,-,40.0,50.6,['(0.4)GPTMS'],j.eurpolymj.2015.06.029_4_0
9,20% TEOS/20% GPTMS,30.0,48.0,30.0,2.0,20.0,24.0,20.0,26.0,"['(0.2)TEOS', '(0.2)GPTMS']",j.eurpolymj.2015.06.029_4_0
