,Samples,T ' (°C),T5% b (°C),T1st peak (°C),Tmax (°C),T3rd peak e (C),Residue (wt%),Residue® (wt%),Vectors,Ref
0,Neat,89.0,254.0,267.0,371.0,562.0,8.41,9.1,['EP'],j.eurpolymj.2015.06.029_6_0
1,10% TEOS,83.0,254.0,268.0,372.0,562.0,10.1,10.27,['(0.1)TEOS'],j.eurpolymj.2015.06.029_6_0
2,20% TEOS,82.0,255.0,267.0,371.0,557.0,11.08,11.74,['(0.2)TEOS'],j.eurpolymj.2015.06.029_6_0
3,30% TEOS,78.0,254.0,267.0,373.0,562.0,12.84,13.1,['(0.3)TEOS'],j.eurpolymj.2015.06.029_6_0
4,40% TEOS,75.0,254.0,266.0,375.0,570.0,13.5,14.24,['(0.4)TEOS'],j.eurpolymj.2015.06.029_6_0
5,10% GPTMS,73.0,252.0,263.0,364.0,560.0,9.36,9.67,['(0.1)GPTMS'],j.eurpolymj.2015.06.029_6_0
6,20% GPTMS,68.0,254.0,262.0,365.0,574.0,10.26,10.75,['(0.2)GPTMS'],j.eurpolymj.2015.06.029_6_0
7,30% GPTMS,68.0,256.0,258.0,366.0,610.0,11.62,12.3,['(0.3)GPTMS'],j.eurpolymj.2015.06.029_6_0
8,40% GPTMS,67.0,259.0,259.0,367.0,610.0,12.3,13.62,['(0.4)GPTMS'],j.eurpolymj.2015.06.029_6_0
9,20% TEOS/20% GPTMS,68.0,257.0,268.0,368.0,576.0,12.49,13.24,"['(0.2)TEOS', '(0.2)GPTMS']",j.eurpolymj.2015.06.029_6_0
