,Samples,Young's modulus (MPa),"Strength max., MPa",Elongation at break (%),Vectors,Young's modulus (MPa)_err,"Strength max., MPa_err",Elongation at break (%)_err,Ref
0,RTM 6,2110.0,61.0,6.1,['RTM6'],44.0,5.0,0.8,j.eurpolymj.2017.05.026_5_0
1,TRGH-700 1.5%,2248.0,56.0,5.5,"['TRGH', '(70.015)']",46.0,4.0,0.7,j.eurpolymj.2017.05.026_5_0
2,TRGH-700 2%,2457.0,51.0,4.6,"['TRGH', '(70.02)']",51.0,3.0,0.6,j.eurpolymj.2017.05.026_5_0
3,TRGH-1000 1.5%,1958.0,49.0,3.6,"['TRGH', '(100.015)']",34.0,5.0,0.7,j.eurpolymj.2017.05.026_5_0
4,TRGH-1000 2%,2102.0,48.0,3.6,"['TRGH', '(100.02)']",42.0,5.0,0.5,j.eurpolymj.2017.05.026_5_0
5,TRGH-2000 1.5%,1782.0,44.0,3.5,"['TRGH', '(200.015)']",32.0,4.0,0.7,j.eurpolymj.2017.05.026_5_0
6,TRGH-2000 2%,1835.0,42.0,3.4,"['TRGH', '(200.02)']",34.0,3.0,0.5,j.eurpolymj.2017.05.026_5_0
7,TRGB-700 1.5%,2199.0,55.0,5.4,"['TRGB', '(70.015)']",42.0,5.0,0.7,j.eurpolymj.2017.05.026_5_0
8,TRGB-700 2%,2279.0,53.0,5.4,"['TRGB', '(70.02)']",45.0,3.0,0.4,j.eurpolymj.2017.05.026_5_0
9,TRGB-1000 1.5%,2071.0,52.0,4.9,"['TRGB', '(100.015)']",35.0,3.0,0.5,j.eurpolymj.2017.05.026_5_0
10,TRGB-1000 2%,2326.0,50.0,4.5,"['TRGB', '(100.02)']",58.0,4.0,0.6,j.eurpolymj.2017.05.026_5_0
11,TRGB-2000 1.5%,2048.0,48.0,4.4,"['TRGB', '(200.015)']",42.0,3.0,0.5,j.eurpolymj.2017.05.026_5_0
12,TRGB-2000 2%,2025.0,44.0,4.1,"['TRGB', '(200.02)']",34.0,3.0,0.4,j.eurpolymj.2017.05.026_5_0
