,Samples,Mean (MPa),SD,Min,Max,Vectors,Ref
0,CSA-cb,3.42,1.47,1.5,6.65,"['CSA', 'cb']",j.ijadhadh.2012.10.012_4_0
1,CSA-sc,4.25,2.74,1.95,7.73,"['CSA', 'sc']",j.ijadhadh.2012.10.012_4_0
2,CSA-ob,4.96,3.28,1.08,13.09,"['CSA', 'ob']",j.ijadhadh.2012.10.012_4_0
3,CSA-pw,6.44,2.4,2.35,10.05,"['CSA', 'pw']",j.ijadhadh.2012.10.012_4_0
4,CSA-cn,5.83,2.87,2.53,12.4,"['CSA', 'cn']",j.ijadhadh.2012.10.012_4_0
5,PAN-cb,4.82,2.54,1.15,8.75,"['PAN', 'cb']",j.ijadhadh.2012.10.012_4_0
6,PAN-sc,4.54,2.58,1.3,10.12,"['PAN', 'sc']",j.ijadhadh.2012.10.012_4_0
7,PAN-ob,4.29,2.17,1.9,8.25,"['PAN', 'ob']",j.ijadhadh.2012.10.012_4_0
8,PAN-pw,5.82,2.5,2.8,10.7,"['PAN', 'pw']",j.ijadhadh.2012.10.012_4_0
9,PAN-cn,9.84,4.88,3.2,17.9,"['PAN', 'cn']",j.ijadhadh.2012.10.012_4_0
