,Samples,Composition,Manufacturer,Vectors,Ref
0,IPS d.SIGN,"SiO2: 50-65 wt%, Al2O3, K20, Na20, CaO, P2O5, F, Li20, ZrO and pigments (fluorapatite leucite glass- ceramic) Lot: K33292","Ivoclar Vivadent, Schaan, Liechtenstein",['IPSd.SIGN'],j.ijadhadh.2015.06.006_2_0
1,IPS e.Max Press,"SiO2, Li20, K2O, MgO, ZnO, Al2O3, PO and other oxides (lithium disilicate glass-ceramic) Lot: M72418","Ivoclar Vivadent, Schaan, Liechtenstein",['IPSe.MaxPress'],j.ijadhadh.2015.06.006_2_0
2,RelyX ARC,"TEGDMA, bis-GMA, zirconia/silica filler (67.5 wt%) initiators Lot: FY8HX","3M ESPE, St Paul, MN, USA",['RelyXARC'],j.ijadhadh.2015.06.006_2_0
3,RelyX U100,"Phosphoric acid methacrylates, dimethacrylates, inorganic fillers (72 wt%), fumed silica, initiators Lot: CA3RW","3M ESPE, St Paul, MN, USA",['RelyXU(1.0)'],j.ijadhadh.2015.06.006_2_0
4,Panavia F,"Paste A: 10-MDP, hydrophilic and hydrophobic dimetacrilates, benzoyl peroxide, camphorquinone, colloidal silica Lot: 249D Paste B: Sodium Fluoride, hydrophilic and hydrophobic dimetacrilates, d-p-tol, T-sulfinate, colloidal silica, barium glass, titanium dioxide Lot: 26D","Kuraray, Osaka, Japan",['PanaviaF'],j.ijadhadh.2015.06.006_2_0
5,Adper Scothbond multi-pur- pose plus,"Adhesive: bis-GMA, HEMA, photo-initiators, amines Lot: 9CC Catalyst: bis-GMA, HEMA, peroxides Lot: 9RL","3M ESPE, St Paul, MN, USA","['AdperScothbondmulti', 'pur', 'poseplus']",j.ijadhadh.2015.06.006_2_0
6,Clearfil SE bond,"Primer: HEMA,10-MDP, Hydrophilic aliphatic dimethacrylate, dl-Camphorquinone, Water, Accel- erators Lot: 01714-A Bond: 10-MDP, Bis-GMA, HEMA, Hydrophobic dimethacrylate dI-Camphorquinone,d-p-tol, colloidal silica Lot: 07706-A","Kuraray, Osaka, Japan",['ClearfilSEbond'],j.ijadhadh.2015.06.006_2_0
7,ED primer,"Primer A: HEMA, 10-MDP, N-methacryloyl-5-aminosalicylic acid, diethanol-p-toluidine, water Lot: 00226A Primer B: N-methacryloyl-5-aminosalicylic acid, T-sulfinate, diethanol-p-toluidine, water Lot: 00105A","Kuraray, Osaka, Japan",['EDprimer'],j.ijadhadh.2015.06.006_2_0
8,Ceramic primer,"Ethyl alcohol, water, Methacryloxypropyltrimethoxysilane Lot: 8YH","3M ESPE, St Paul, MN, USA",['Ceramicprimer'],j.ijadhadh.2015.06.006_2_0
9,Clearfil porcelain Bond activator,"3-Trimethoxysilylpropyl methacrylate, hydrophobic aromatic dimethacrylate Lot: 00208B","Kuraray, Osaka, Japan",['ClearfilporcelainBondactivator'],j.ijadhadh.2015.06.006_2_0
