,Samples,(wt%),Hardener,.1 (wt%),Vectors,Ref
0,System (1),,,,['System((1))'],j.ijadhadh.2016.12.005_3_0
1,DGEBA,80.0,isophoronediamine,85.0,['DGEBA'],j.ijadhadh.2016.12.005_3_0
2,PPGDGE,20.0,benzyl alcohol,15.0,['PPGDGE'],j.ijadhadh.2016.12.005_3_0
3,System (2),,,,['System((2))'],j.ijadhadh.2016.12.005_3_0
4,DGEBA,70.0,isophoronediamine,40.0,['DGEBA'],j.ijadhadh.2016.12.005_3_0
5,DGEBF,20.0,2-piperazin-1-ylethylamine,40.0,['DGEBF'],j.ijadhadh.2016.12.005_3_0
6,C12/C14,7.5,Jeffamine D,17.0,"['C(12)', 'C(14)']",j.ijadhadh.2016.12.005_3_0
7,alkylglycidylether,,,,['alkylglycidylether'],j.ijadhadh.2016.12.005_3_0
8,BDGE,1.5,m-phenylenebis (methylamine),1.5,['BDGE'],j.ijadhadh.2016.12.005_3_0
9,,,"2,2,4(2,4,4)-trimethyl-1,6- hexanediamine -TMHDA",1.5,[''],j.ijadhadh.2016.12.005_3_0
