,SI No.,Samples,Heating rate (B) (°C/min),Temperatures Tmd (°C),Temperatures Tfd (°C),Activation energy of degradation (E) (kJ/mol),Vectors,Ref
0,1.0,Ep,10.0,349.0,550.0,141.9,['Ep'],j.ijadhadh.2018.03.013_28_0
1,,,5.0,336.5,600.0,,[''],j.ijadhadh.2018.03.013_28_0
2,2.0,Ep/1.0 CNT,10.0,350.9,622.0,155.7,"['Ep', '(1.0)CNT']",j.ijadhadh.2018.03.013_28_0
3,,L,15.0,357.3,650.7,,['L'],j.ijadhadh.2018.03.013_28_0
4,,,5.0,330.06,602.7,,[''],j.ijadhadh.2018.03.013_28_0
5,3.0,Ep/1.0 C30B,10.0,349.4,608.0,151.0,"['Ep', '(1.0)C30B']",j.ijadhadh.2018.03.013_28_0
6,,,15.0,358.04,623.5,,[''],j.ijadhadh.2018.03.013_28_0
7,,,5.0,343.0,600.0,,[''],j.ijadhadh.2018.03.013_28_0
8,4.0,Ep/1.0 CNT/1.0 C30B,10.0,353.01,616.3,223.2,"['Ep', '(1.0)CNT', '(1.0)C30B']",j.ijadhadh.2018.03.013_28_0
9,,,15.0,358.04,626.3,,[''],j.ijadhadh.2018.03.013_28_0
