,Sample code,Samples,E (GPa),oy (MPa),ob (MPa),Eb (%),o (kJ/m²),Tg (°C),Vectors,E (GPa)_err,oy (MPa)_err,ob (MPa)_err,Eb (%)_err,o (kJ/m²)_err,Tg (°C)_err,Ref
0,EP,Neat epoxy,3.18,,71.49,2.59,19.65,145.0,['EP'],0.12,-,6.11,1.56,3.19,3.0,j.matchemphys.2013.05.018_2_0
1,2.3,2.3 wt% LR,3.07,81.06,80.13,3.89,21.92,142.0,['(0.023)LR'],0.13,1.57,5.36,1.26,1.63,2.0,j.matchemphys.2013.05.018_2_0
2,4.5,4.5 wt% LR,2.92,85.38,83.49,4.69,25.89,140.0,['(0.045)LR'],0.08,0.86,4.33,0.87,3.23,3.0,j.matchemphys.2013.05.018_2_0
3,9.2,9.2 wt% LR,2.56,68.01,65.32,5.56,29.35,139.0,['(0.092)LR'],0.1,1.59,2.25,0.66,2.37,2.0,j.matchemphys.2013.05.018_2_0
4,14.8,14.8 wt% LR,2.15,58.52,56.89,6.24,26.44,139.0,['(0.148)LR'],0.15,0.43,1.58,0.49,1.67,3.0,j.matchemphys.2013.05.018_2_0
5,2.3,2.3 wt% PR,3.05,72.08,72.08,4.25,23.84,147.0,['(0.023)PR'],0.07,5.55,5.55,1.43,2.01,2.0,j.matchemphys.2013.05.018_2_0
6,4.5,4.5 wt% PR,2.88,78.79,78.25,4.78,27.67,149.0,['(0.045)PR'],0.04,0.58,1.86,0.86,2.76,2.0,j.matchemphys.2013.05.018_2_0
7,6.9,6.9 wt% PR,2.79,75.95,75.37,5.72,31.93,152.0,['(0.069)PR'],0.16,0.12,0.31,0.67,1.64,3.0,j.matchemphys.2013.05.018_2_0
8,9.2,9.2 wt% PR,2.58,74.11,73.78,6.56,32.58,155.0,['(0.092)PR'],0.08,0.37,0.67,0.38,3.12,4.0,j.matchemphys.2013.05.018_2_0
9,2.3,2.3 wt% PR + 9.2 wt% LR,2.48,67.23,65.69,5.41,30.85,142.0,"['(0.023)PR', '(0.092)LR']",0.11,0.18,0.21,0.62,2.23,3.0,j.matchemphys.2013.05.018_2_0
10,4.5,4.5 wt% PR + 9.2 wt% LR,2.33,64.68,62.85,5.64,34.97,142.0,"['(0.045)PR', '(0.092)LR']",0.17,0.23,1.11,0.96,3.01,2.0,j.matchemphys.2013.05.018_2_0
11,6.9,6.9 wt% PR + 9.2 wt% LR,2.09,59.72,57.52,7.64,36.67,144.0,"['(0.069)PR', '(0.092)LR']",0.16,0.19,0.24,2.78,3.36,4.0,j.matchemphys.2013.05.018_2_0
12,9.2,9.2 wt% PR + 9.2 wt% LR,1.96,57.63,55.03,10.89,41.63,148.0,"['(0.092)PR', '(0.092)LR']",0.12,0.22,0.53,2.77,2.48,3.0,j.matchemphys.2013.05.018_2_0
