,Sample No.,Samples,Pmax (N),KIC (MPa.m 1/2),Vectors,Ref
0,1.0,Neat Epoxy,181.3,0.581,['EP'],j.matchemphys.2020.124106_5_0
1,2.0,Epoxy- 0.2% UFM,209.72,0.672,"['EP', '(0.002)UFM']",j.matchemphys.2020.124106_5_0
2,3.0,Epoxy- 0.5% UFM,198.94,0.637,"['EP', '(0.005)UFM']",j.matchemphys.2020.124106_5_0
3,4.0,Epoxy- 1% UFM,175.42,0.562,"['EP', '(0.01)UFM']",j.matchemphys.2020.124106_5_0
4,5.0,Epoxy-0.2% UFM - 2% Func,257.74,0.826,"['EP', '(0.002)UFM', '(0.02)Func']",j.matchemphys.2020.124106_5_0
5,6.0,Epoxy-0.5% UFM - 2% Func,255.98,0.82,"['EP', '(0.005)UFM', '(0.02)Func']",j.matchemphys.2020.124106_5_0
6,7.0,Epoxy-1% UFM - 2% Func,241.08,0.772,"['EP', '(0.01)UFM', '(0.02)Func']",j.matchemphys.2020.124106_5_0
7,8.0,Epoxy-0.2% UFM - 5% Func,275.38,0.882,"['EP', '(0.002)UFM', '(0.05)Func']",j.matchemphys.2020.124106_5_0
8,9.0,Epoxy-0.5% UFM - 5% Func,281.26,0.901,"['EP', '(0.005)UFM', '(0.05)Func']",j.matchemphys.2020.124106_5_0
9,10.0,Epoxy-1% UFM - 5% Func,248.92,0.798,"['EP', '(0.01)UFM', '(0.05)Func']",j.matchemphys.2020.124106_5_0
