,Samples,Table 3 (continued) Retention Time (min.),Table 3 (continued) Suspected Compound Name,Table 3 (continued) Structure,Vectors,Ref
0,MPGE-1 DDM 350-450 °C,8.64,2-ethylaniline,NHg OF,"['MPGE', '1DDM350', '(450)°C']",j.polymdegradstab.2004.03.019_10_1
1,,8.78,-ethylaniline,O NH2,[''],j.polymdegradstab.2004.03.019_10_1
2,MPGE-DEP,2.09,2-methylpentane,,"['MPGE', 'DEP']",j.polymdegradstab.2004.03.019_10_1
3,250-350 °C,2.17,3-methylpentane,,['(250350)°C'],j.polymdegradstab.2004.03.019_10_1
4,,2.26,hexane,,[''],j.polymdegradstab.2004.03.019_10_1
5,,2.46,methylcyclopentane,,[''],j.polymdegradstab.2004.03.019_10_1
6,,2.59,acetic acid,I OH,[''],j.polymdegradstab.2004.03.019_10_1
7,MPGE-DEP,2.11,2-methylpentane,,"['MPGE', 'DEP']",j.polymdegradstab.2004.03.019_10_1
8,350-450 °0,2.18,--methylpentane,,['(350450)°0'],j.polymdegradstab.2004.03.019_10_1
9,,2.28,hexane,,[''],j.polymdegradstab.2004.03.019_10_1
10,,2.48,methylcyclopentane,,[''],j.polymdegradstab.2004.03.019_10_1
11,,2.66,benzene,,[''],j.polymdegradstab.2004.03.019_10_1
12,,3.8,toluene,o,[''],j.polymdegradstab.2004.03.019_10_1
13,,5.19,p-xylene,C,[''],j.polymdegradstab.2004.03.019_10_1
14,,6.57,phenol,OH C,[''],j.polymdegradstab.2004.03.019_10_1
15,,7.72,4-methylphenol,O OH,[''],j.polymdegradstab.2004.03.019_10_1
16,,8.77,4-ethylphenol,O OH,[''],j.polymdegradstab.2004.03.019_10_1
17,,9.32,"2,3-dihydrobenzofuran",,[''],j.polymdegradstab.2004.03.019_10_1
18,,10.93,"1,2-ethanediyl ester-2-methyl-2-propa noic acid",forgh,[''],j.polymdegradstab.2004.03.019_10_1
19,,14.03,"1,2,3,4-tetrahydro-2- phenylnaphthalene",O O,[''],j.polymdegradstab.2004.03.019_10_1
