,Samples,P (wt%)a,N (wt%)b,Tg (°C),Td (°C)c,Char yield,UL-94,LOI,Vectors,Ref
0,DGEBA/DDM,0.0,2.86,163.0,380.0,18.1,Burning,24.9,"['DGEBA', 'DDM']",j.polymdegradstab.2011.08.004_3_0
1,(4 - 0.75)/DDM,0.75,2.81,151.0,338.0,20.5,V-1,34.6,"['((4)-0.75)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
2,(4 - 1.00)/DDM,1.0,2.77,145.0,332.0,20.7,V-0,35.6,"['((4)-1.00)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
3,(4 - 1.25)/DDM,1.25,2.75,142.0,330.0,20.9,V-0,36.3,"['((4)-1.25)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
4,(4 - 1.50)/DDM,1.5,2.71,140.0,326.0,21.3,V-0,37.0,"['((4)-1.50)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
5,(5 - 0.75)/DDM,0.75,2.67,154.0,356.0,21.0,V-1,35.1,"['((5)-0.75)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
6,(5 - 1.00)/DDM,1.0,2.63,150.0,348.0,22.3,V-0,36.2,"['((5)-1.00)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
7,(5 - 1.25)/DDM,1.25,2.57,148.0,344.0,22.4,V-0,37.0,"['((5)-1.25)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
8,(5 - 1.50)/DDM,1.5,2.53,147.0,342.0,24.6,V-0,37.5,"['((5)-1.50)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
9,(6 - 0.75)/DDM,0.75,2.67,148.0,345.0,21.1,V-1,35.4,"['((6)-0.75)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
10,(6 - 1.00)/DDM,1.0,2.63,143.0,340.0,21.6,V-0,36.9,"['((6)-1.00)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
11,(6 - 1.25)/DDM,1.25,2.57,140.0,337.0,21.8,V-0,37.7,"['((6)-1.25)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
12,(6 - 1.50)/DDM,1.5,2.53,138.0,335.0,23.0,V-0,38.6,"['((6)-1.50)', 'DDM']",j.polymdegradstab.2011.08.004_3_0
