,Samples,LOI,TTI (s),Cone results FO (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),Cone results Residue (%),Char residue from In air (%),TGA at 575 °C In N superscript(2) (%),Vectors,Ref
0,UP,17.9,40.0,178.0,1053.0,78.9,4090.0,1.0,0.4,4.3,['UP'],j.polymdegradstab.2014.11.002_3_0
1,PH1,31.8,84.0,175.0,534.0,41.0,965.0,46.0,54.1,61.8,['PH1'],j.polymdegradstab.2014.11.002_3_0
2,UP/PH1:70/30,20.7,34.0,117.0,962.0,51.0,1700.0,18.0,28.9,25.9,"['UP(0.7)', 'PH1(0.3)']",j.polymdegradstab.2014.11.002_3_0
3,UP/PH1:50/50,21.3,37.0,153.0,787.0,44.6,1683.0,26.0,42.3,39.3,"['UP(0.5)', 'PH1(0.5)']",j.polymdegradstab.2014.11.002_3_0
4,PH2,23.0,33.0,156.0,452.0,37.6,594.0,46.0,55.5,58.6,['PH2'],j.polymdegradstab.2014.11.002_3_0
5,UP/PH2:70/30,19.5,31.0,178.0,630.0,62.3,2307.0,24.0,32.9,20.4,"['UP(0.7)', 'PH2(0.3)']",j.polymdegradstab.2014.11.002_3_0
6,UP/PH2:50/50,19.8,31.0,156.0,568.0,48.4,1357.0,37.0,43.3,36.8,"['UP(0.5)', 'PH2(0.5)']",j.polymdegradstab.2014.11.002_3_0
7,PH3,23.1,35.0,145.0,489.0,34.2,603.0,48.0,54.9,58.0,['PH3'],j.polymdegradstab.2014.11.002_3_0
8,UP/PH3:70/30,18.7,39.0,148.0,885.0,54.3,2699.0,11.0,17.3,19.0,"['UP(0.7)', 'PH3(0.3)']",j.polymdegradstab.2014.11.002_3_0
9,UP/PH3:50/50,19.7,34.0,151.0,682.0,49.6,2203.0,20.0,32.6,35.5,"['UP(0.5)', 'PH3(0.5)']",j.polymdegradstab.2014.11.002_3_0
10,PH4,22.2,72.0,216.0,804.0,47.8,2209.0,27.0,28.8,42.8,['PH4'],j.polymdegradstab.2014.11.002_3_0
11,UP/PH4:70/30,19.0,54.0,179.0,955.0,70.7,3819.0,11.0,13.5,19.6,"['UP(0.7)', 'PH4(0.3)']",j.polymdegradstab.2014.11.002_3_0
12,UP/PH4:50/50,19.6,57.0,201.0,828.0,61.0,3166.0,14.0,4.0,27.1,"['UP(0.5)', 'PH4(0.5)']",j.polymdegradstab.2014.11.002_3_0
