,Samples,B (°C/min),(p (°C),Ek (kJ/mol),am,Mean am,apo,Mean apo,InA (1/min),m,n,R,Vectors,Ref
0,Pure DGEBA,5.0,150.09,52.3,0.5065,0.5039,0.5429,0.5342,0.5186,1.138,1.115,0.9993,['DGEBA'],j.polymdegradstab.2015.04.009_8_0
1,,10.0,168.18,,0.5072,,0.5537,,0.8224,1.005,0.9847,0.9994,[''],j.polymdegradstab.2015.04.009_8_0
2,,15.0,179.33,,0.501,,0.5268,,1.129,1.01,0.9808,0.9992,[''],j.polymdegradstab.2015.04.009_8_0
3,,20.0,187.86,,0.5008,,0.5135,,1.414,0.9782,0.983,0.9992,[''],j.polymdegradstab.2015.04.009_8_0
4,DGEBA + 10 wt % LPN-EP,5.0,123.22,71.36,0.4055,0.3105,0.4338,0.4139,0.7492,0.9986,1.134,0.9923,"['DGEBA', '(0.1)LPN-EP']",j.polymdegradstab.2015.04.009_8_0
5,,10.0,134.44,,0.3185,,0.3531,,0.7721,0.7399,0.8622,0.9844,[''],j.polymdegradstab.2015.04.009_8_0
6,,15.0,142.06,,0.2597,,0.3208,,0.9114,0.6808,0.7922,0.9871,[''],j.polymdegradstab.2015.04.009_8_0
7,,20.0,147.88,,0.2584,,0.5479,,1.051,0.6596,0.7549,0.988,[''],j.polymdegradstab.2015.04.009_8_0
8,DGEBA + 20 wt % LPN-EP,5.0,127.09,73.27,0.4557,0.3262,0.4817,0.3531,0.7539,0.9873,1.096,0.9944,"['DGEBA', '(0.2)LPN-EP']",j.polymdegradstab.2015.04.009_8_0
9,,10.0,138.99,,0.2984,,0.3418,,0.8467,0.7832,1.1323,0.9901,[''],j.polymdegradstab.2015.04.009_8_0
10,,15.0,145.96,,0.2921,,0.3038,,0.8252,0.6699,0.897,0.9854,[''],j.polymdegradstab.2015.04.009_8_0
11,,20.0,151.68,,0.2565,,0.2849,,1.017,0.6576,0.8814,0.9861,[''],j.polymdegradstab.2015.04.009_8_0
12,DGEBA + 30 wt % LPN-EP,5.0,120.03,70.85,0.6003,0.5381,0.6174,0.5703,0.9457,1.267,0.9442,0.9987,"['DGEBA', '(0.3)LPN-EP']",j.polymdegradstab.2015.04.009_8_0
13,,10.0,131.53,,0.5452,,0.5891,,1.801,1.241,0.9777,0.9987,[''],j.polymdegradstab.2015.04.009_8_0
14,,15.0,138.7,,0.5226,,0.5583,,2.771,1.23,1.063,0.9986,[''],j.polymdegradstab.2015.04.009_8_0
15,,20.0,144.56,,0.4843,,0.5163,,3.534,1.176,1.129,0.9978,[''],j.polymdegradstab.2015.04.009_8_0
