,Samples,LOI (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),calorimetric results A CY/wt%,Vectors,Ref
0,70UP/30VB-novolac (no additional styrene),1.7,2.0,343.0,10.0,196.0,10.6,"['70UP/30VB', 'novolac(noadditionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
1,70UP/30Allyl resole [10],1.1,14.0,98.0,7.9,271.0,10.0,['70UP/30Allylresole10'],j.polymdegradstab.2016.01.005_9_0
2,70UP/30Methacrylate-novolad (32 wt% additional styrene) [13],1.2,1.0,198.0,15.0,904.0,5.7,"['70UP/30Methacrylate', 'novolad((0.32)additionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
3,50UP/50VB-novolac (15 wt% additional styrene),1.8,14.0,423.0,15.0,520.0,11.6,"['50UP/50VB', 'novolac((0.15)additionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
4,50UP/50VB-novolac (30 wt% additional styrene),2.0,10.0,248.0,13.0,244.0,12.3,"['50UP/50VB', 'novolac((0.3)additionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
5,50UP/50Allyl-resole (no additional styrene) [10],1.7,17.0,225.0,17.9,924.0,13.0,"['50UP/50Allyl', 'resole(noadditionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
6,50UP/50Methacrylate-novolac (32 wt% additional styrene) [13],1.8,1.0,290.0,19.0,1190.0,10.5,"['50UP/50Methacrylate', 'novolac((0.32)additionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
7,VB-novolac (no styrene),5.6,5.0,532.0,28.0,980.0,31.5,"['VB', 'novolac(nostyrene)']",j.polymdegradstab.2016.01.005_9_0
8,Allyl-resole (no styrene) [10],4.3,32.0,249.0,30.9,1881.0,26.0,"['Allyl', 'resole(nostyrene)']",j.polymdegradstab.2016.01.005_9_0
9,Methacrylate-novolac (32% additional styrene) [13],3.4,3.0,329.0,22.0,1301.0,17.8,"['Methacrylate', 'novolac((0.32)additionalstyrene)']",j.polymdegradstab.2016.01.005_9_0
