,Samples,(°C),Vectors,Ref
0,PT-30,387.0,['PT-30'],j.polymdegradstab.2016.02.015_5_0
1,DGEBA,149.0,['DGEBA'],j.polymdegradstab.2016.02.015_5_0
2,20% PT-30 - 80% DGEBA,161.0,"['(0.2)PT-30', '(0.8)DGEBA']",j.polymdegradstab.2016.02.015_5_0
3,40% PT-30 - 60% DGEBA,214.0,"['(0.4)PT-30', '(0.6)DGEBA']",j.polymdegradstab.2016.02.015_5_0
4,DGEBA - DOPO 2% P,106.0,"['DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_5_0
5,20% PT-30 - DGEBA - DOPO 2% P,129.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_5_0
6,30% PT-30 - DGEBA - DOPO 2% P,150.0,"['(0.3)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_5_0
7,40% PT-30 - DGEBA - DOPO 2% P,162.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_5_0
8,20% PT-30 - DGEBA - DOPO 3% P,108.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_5_0
9,25% PT-30 - DGEBA - DOPO 3% P,113.0,"['(0.25)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_5_0
10,40% PT-30 - DGEBA - DOPO 3% P,141.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_5_0
