,Samples,LOI (%),UL-94,TTI (s),PHRR (kW/m²),Time PHRR (s),FIGRA (kW/m²s),Burning time (s),THR (MJ/m²),EHC (MJ/kg),MARHE (kW/m²),Residue (wt%),Vectors,Ref
0,PT-30,30.0,HB,26.0,156.0,44.0,3.5,180.0,15.5,11.9,91.7,48.0,['PT-30'],j.polymdegradstab.2016.02.015_7_0
1,DGEBA,23.0,HB (17.1 + 2),40.0,743.0,129.0,6.6,217.0,91.0,19.4,364.3,0.0,['DGEBA'],j.polymdegradstab.2016.02.015_7_0
2,20% PT-30 - 80% DGEBA,33.0,HB,50.0,471.0,113.0,4.2,176.0,59.5,18.5,223.9,0.0,"['(0.2)PT-30', '(0.8)DGEBA']",j.polymdegradstab.2016.02.015_7_0
3,40% PT-30 - 60% DGEBA,28.0,HB,50.0,238.0,167.0,1.4,345.0,55.1,13.2,160.5,14.0,"['(0.4)PT-30', '(0.6)DGEBA']",j.polymdegradstab.2016.02.015_7_0
4,DGEBA - DOPO 2%P,29.0,V-1,32.0,477.0,134.0,3.6,226.0,65.1,13.5,252.6,0.0,"['DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_7_0
5,20% PT-30 - DGEBA - DOPO 2% P,42.0,V-0,42.0,261.0,177.0,1.5,279.0,49.0,12.3,161.8,15.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_7_0
6,30% PT-30 - DGEBA - DOPO 2% P,40.0,V-0,50.0,207.0,207.0,1.0,309.0,42.0,11.4,130.8,18.0,"['(0.3)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_7_0
7,40% PT-30 - DGEBA - DOPO 2% P,43.0,V-0,53.0,195.0,168.0,1.2,301.0,36.3,11.6,116.2,23.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015_7_0
8,20% PT-30 - DGEBA - DOPO 3% P,40.0,V-0,27.0,218.0,156.0,1.4,380.0,50.3,11.8,150.5,14.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_7_0
9,25% PT-30 - DGEBA - DOPO 3% P,42.0,V-0,45.0,218.0,155.0,1.4,375.0,46.0,12.1,134.6,17.0,"['(0.25)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_7_0
10,40% PT-30 - DGEBA - DOPO 3% P,45.0,V-0,44.0,234.0,179.0,1.3,315.0,47.5,13.3,142.9,22.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015_7_0
