,Samples,DGEBA/DDS (g),EG (g),DOPO (g),HPCP (g),EG content (wt%),P content (wt%),Vectors,Ref
0,EP/DDS,100.0,0.0,0.0,0.0,0.0,0.0,"['EP', 'DDS']",j.polymdegradstab.2016.03.017_2_0
1,EP/EG,80.0,20.0,0.0,0.0,20.0,0.0,"['EP', 'EG']",j.polymdegradstab.2016.03.017_2_0
2,EP/DOPO,92.3,0.0,7.7,0.0,0.0,1.1,"['EP', 'DOPO']",j.polymdegradstab.2016.03.017_2_0
3,EP/HPCP,91.8,0.0,0.0,8.2,0.0,1.1,"['EP', 'HPCP']",j.polymdegradstab.2016.03.017_2_0
4,EP/EG/DOPO-1,80.0,16.0,4.0,0.0,16.0,0.57,"['EP', 'EG', 'DOPO-1']",j.polymdegradstab.2016.03.017_2_0
5,EP/EG/DOPO-2,80.0,14.0,6.0,0.0,14.0,0.86,"['EP', 'EG', 'DOPO-2']",j.polymdegradstab.2016.03.017_2_0
6,EP/EG/DOPO-3,80.0,12.0,8.0,0.0,12.0,1.15,"['EP', 'EG', 'DOPO-3']",j.polymdegradstab.2016.03.017_2_0
7,EP/EG/DOPO-4,80.0,10.0,10.0,0.0,10.0,1.44,"['EP', 'EG', 'DOPO-4']",j.polymdegradstab.2016.03.017_2_0
8,EP/EG/HPCP-1,80.0,16.0,0.0,4.0,16.0,0.54,"['EP', 'EG', 'HPCP-1']",j.polymdegradstab.2016.03.017_2_0
9,EP/EG/HPCP-2,80.0,14.0,0.0,6.0,14.0,0.81,"['EP', 'EG', 'HPCP-2']",j.polymdegradstab.2016.03.017_2_0
10,EP/EG/HPCP-3,80.0,12.0,0.0,8.0,12.0,1.07,"['EP', 'EG', 'HPCP-3']",j.polymdegradstab.2016.03.017_2_0
11,EP/EG/HPCP-4,80.0,10.0,0.0,10.0,10.0,1.34,"['EP', 'EG', 'HPCP-4']",j.polymdegradstab.2016.03.017_2_0
