,Samples,The contents of PEI-APP,LOI (%),UL-94,(mm),Vectors,Ref
0,,,,Rating,Dripping,[''],j.polymdegradstab.2016.07.004_5_0
1,PEI/EP,,23.0,NR,No,"['PEI', 'EP']",j.polymdegradstab.2016.07.004_5_0
2,PEI-APP-1/EP,10 wt%,24.0,V-2,No,"['PEI-APP-1', 'EP']",j.polymdegradstab.2016.07.004_5_0
3,,15 wt%,26.5,V-1,No,[''],j.polymdegradstab.2016.07.004_5_0
4,PEI-APP-2/EP,10 wt%,25.0,V-2,No,"['PEI-APP-2', 'EP']",j.polymdegradstab.2016.07.004_5_0
5,,15 wt%,28.5,V-0,No,[''],j.polymdegradstab.2016.07.004_5_0
6,PEI-APP-3/EP,10 wt%,26.0,V-1,No,"['PEI-APP-3', 'EP']",j.polymdegradstab.2016.07.004_5_0
7,,15 wt%,29.5,V-0,No,[''],j.polymdegradstab.2016.07.004_5_0
8,PEI-APP-4/EP,10 wt%,24.5,V-2,No,"['PEI-APP-4', 'EP']",j.polymdegradstab.2016.07.004_5_0
9,,15 wt%,27.0,V-1,No,[''],j.polymdegradstab.2016.07.004_5_0
