,Samples,(°C/min),Tonset (°C),Tp (°C),(J/g),Ek (kJ/mol),E° (kJ/mol),Vectors,Ref
0,DGEBA/DDM,5.0,109.31,150.78,303.4,57.54,61.65,"['DGEBA', 'DDM']",j.polymdegradstab.2018.05.021_20_0
1,,10.0,123.73,168.25,237.6,,,[''],j.polymdegradstab.2018.05.021_20_0
2,,15.0,129.62,178.0,220.3,,,[''],j.polymdegradstab.2018.05.021_20_0
3,,20.0,133.08,185.32,214.0,,,[''],j.polymdegradstab.2018.05.021_20_0
4,DGEBA/DDM/,5.0,90.11,138.37,241.7,57.27,61.18,"['DGEBA', 'DDM', '']",j.polymdegradstab.2018.05.021_20_0
5,HPUPO1,10.0,102.17,155.34,227.7,,,['HPUPO(1)'],j.polymdegradstab.2018.05.021_20_0
6,,15.0,107.76,164.4,206.8,,,[''],j.polymdegradstab.2018.05.021_20_0
7,,20.0,110.64,170.98,186.1,,,[''],j.polymdegradstab.2018.05.021_20_0
8,DGEBA/DDM/,5.0,100.31,140.28,298.7,48.43,52.86,"['DGEBA', 'DDM', '']",j.polymdegradstab.2018.05.021_20_0
9,HPUPO2,10.0,110.5,158.45,293.2,,,['HPUPO(2)'],j.polymdegradstab.2018.05.021_20_0
10,,15.0,124.49,170.46,281.8,,,[''],j.polymdegradstab.2018.05.021_20_0
11,,20.0,131.76,178.93,260.4,,,[''],j.polymdegradstab.2018.05.021_20_0
12,DGEBA/DDM/,5.0,102.11,143.28,321.8,55.03,59.15,"['DGEBA', 'DDM', '']",j.polymdegradstab.2018.05.021_20_0
13,HPUPO3,10.0,114.27,158.86,314.9,,,['HPUPO(3)'],j.polymdegradstab.2018.05.021_20_0
14,,15.0,122.71,170.11,294.8,,,[''],j.polymdegradstab.2018.05.021_20_0
15,,20.0,131.72,177.97,277.8,,,[''],j.polymdegradstab.2018.05.021_20_0
16,DGEBA/DDM/,5.0,102.76,144.11,328.5,60.82,64.64,"['DGEBA', 'DDM', '']",j.polymdegradstab.2018.05.021_20_0
17,HPUPO4,10.0,114.33,158.92,321.6,,,['HPUPO(4)'],j.polymdegradstab.2018.05.021_20_0
18,,15.0,120.59,168.77,301.3,,,[''],j.polymdegradstab.2018.05.021_20_0
19,,20.0,129.38,175.8,284.9,,,[''],j.polymdegradstab.2018.05.021_20_0
