,Samples,T(°C),T5% (°C),T10% (°C),Tmax (°C),Char yield (600 °C),Vectors,Char yield (600 °C)_err,Ref
0,Samples,2.0,3.0,3.0,3.0,(wt%) ,['Samples'],0.2,j.polymdegradstab.2018.08.007_15_0
1,EP/P-0,144.0,388.3,395.5,415.9,1.0,"['EP', 'P-0']",9.1,j.polymdegradstab.2018.08.007_15_0
2,EP/DPO-PHE-P-0.3,155.6,379.3,391.3,413.2,2.0,"['EP', 'DPO-PHE-P(0.3)']",1.5,j.polymdegradstab.2018.08.007_15_0
3,EP/DPO-PHE-P-0.5,154.0,369.7,384.7,408.6,2.0,"['EP', 'DPO-PHE-P(0.5)']",2.7,j.polymdegradstab.2018.08.007_15_0
4,EP/DPO-PHE-P-0.7,151.6,366.3,379.7,404.2,2.0,"['EP', 'DPO-PHE-P(0.7)']",4.8,j.polymdegradstab.2018.08.007_15_0
5,EP/DPO-PHE-P-0.9,154.4,353.7,375.0,405.9,2.0,"['EP', 'DPO-PHE-P(0.9)']",5.3,j.polymdegradstab.2018.08.007_15_0
6,EP/DOPO-PHE-P-0.3,148.5,371.3,384.3,405.2,2.0,"['EP', 'DOPO-PHE-P(0.3)']",5.3,j.polymdegradstab.2018.08.007_15_0
7,EP/DOPO-PHE-P-0.5,152.2,362.7,376.7,400.9,2.0,"['EP', 'DOPO-PHE-P(0.5)']",6.1,j.polymdegradstab.2018.08.007_15_0
8,EP/DOPO-PHE-P-0.7,153.7,349.7,369.7,400.5,2.0,"['EP', 'DOPO-PHE-P(0.7)']",7.2,j.polymdegradstab.2018.08.007_15_0
9,EP/DOPO-PHE-P-0.9,147.0,344.7,364.0,397.6,2.0,"['EP', 'DOPO-PHE-P(0.9)']",7.8,j.polymdegradstab.2018.08.007_15_0
