,Samples,,Vectors,Ref
0,0D,Zero-dimensional,['(0)D'],j.progpolymsci.2021.101366_2_0
1,1D,One-dimensional,['(1)D'],j.progpolymsci.2021.101366_2_0
2,2D,Two-dimensional,['(2)D'],j.progpolymsci.2021.101366_2_0
3,3D,Three-dimensional,['(3)D'],j.progpolymsci.2021.101366_2_0
4,AHRR,Average of heat release rate,['AHRR'],j.progpolymsci.2021.101366_2_0
5,AI,1-(3-Aminopropyl)-imidazole,['AI'],j.progpolymsci.2021.101366_2_0
6,APP,Ammonium polyphosphate,['APP'],j.progpolymsci.2021.101366_2_0
7,BAMPO,is(m-aminophenyl)methylphosphine oxide,['BAMPO'],j.progpolymsci.2021.101366_2_0
8,BDP,Bisphenol A bis(diphenyl phosphate),['BDP'],j.progpolymsci.2021.101366_2_0
9,BIM,Benzimidazole,['BIM'],j.progpolymsci.2021.101366_2_0
10,CNT,Carbon nanotube,['CNT'],j.progpolymsci.2021.101366_2_0
11,CTP-EP,Hexa-[4-(glycidyloxycarbonyl),"['CTP', 'EP']",j.progpolymsci.2021.101366_2_0
12,,phenoxy]cyclotriphosphazene,[''],j.progpolymsci.2021.101366_2_0
13,CY,Char yield,['CY'],j.progpolymsci.2021.101366_2_0
14,D230,"o, O'-Bis(2-aminopropyl)polypropyleneglyco)",['D230'],j.progpolymsci.2021.101366_2_0
15,DETA,Diethylenetriamine,['DETA'],j.progpolymsci.2021.101366_2_0
16,DDS,"4, 4'-Diaminodiphenyl sulfone",['DDS'],j.progpolymsci.2021.101366_2_0
17,DDM,"4, 4'-Methylene-dianiline",['DDM'],j.progpolymsci.2021.101366_2_0
18,DGEBA,Diglycidyl ether of bisphenol A,['DGEBA'],j.progpolymsci.2021.101366_2_0
19,DICY,Dicyandiamide,['DICY'],j.progpolymsci.2021.101366_2_0
20,DMA,Dynamic mechanical analysis,['DMA'],j.progpolymsci.2021.101366_2_0
21,DOPO,"9, 10-Dihydro-9-oxa-10-phosphaphenanthrene-10- oxide",['DOPO'],j.progpolymsci.2021.101366_2_0
22,DSC,Differential scanning calorimetry,['DSC'],j.progpolymsci.2021.101366_2_0
23,EHPP,Phosphonohydrazidic acid,['EHPP'],j.progpolymsci.2021.101366_2_0
24,EP,Epoxy resin,['EP'],j.progpolymsci.2021.101366_2_0
25,FT-IR,Fourier transform infrared spectroscopy,"['FT', 'IR']",j.progpolymsci.2021.101366_2_0
26,GO,Graphene oxide,['GO'],j.progpolymsci.2021.101366_2_0
27,h-BN,Hexagonal boron nitride,"['h', 'BN']",j.progpolymsci.2021.101366_2_0
28,HGCP,Hexaglycidyl cyclotriphosphazene,['HGCP'],j.progpolymsci.2021.101366_2_0
29,HRR,Heat release rate,['HRR'],j.progpolymsci.2021.101366_2_0
30,IFR,Intumescent flame retardant,['IFR'],j.progpolymsci.2021.101366_2_0
31,IPDA,Isophorone diamine,['IPDA'],j.progpolymsci.2021.101366_2_0
32,LDH,Layered double hydroxide,['LDH'],j.progpolymsci.2021.101366_2_0
33,LOI,Limited oxygen index,['LOI'],j.progpolymsci.2021.101366_2_0
34,MeHHPA,Methylhexahydrophthalic anhydride,['MeHHPA'],j.progpolymsci.2021.101366_2_0
35,MeTHPA,Methyl tetrahydrophthalic anhydride,['MeTHPA'],j.progpolymsci.2021.101366_2_0
36,MCC,Micro combustion calorimeter,['MCC'],j.progpolymsci.2021.101366_2_0
37,MMT,Montmorillonite,['MMT'],j.progpolymsci.2021.101366_2_0
38,mPDA,"1,3-Phenylenediamine",['mPDA'],j.progpolymsci.2021.101366_2_0
39,NR,No rating,['NR'],j.progpolymsci.2021.101366_2_0
40,PA,Phytic acid,['PA'],j.progpolymsci.2021.101366_2_0
41,PEI,Polyethylenimine,['PEI'],j.progpolymsci.2021.101366_2_0
42,PEPA,"1-Oxo-4-hydroxymethyl-2,6,7-trioxa-",['PEPA'],j.progpolymsci.2021.101366_2_0
43,,phosphabicyclo[2.2.2]octane,[''],j.progpolymsci.2021.101366_2_0
44,PHRR,Peak heat release rate,['PHRR'],j.progpolymsci.2021.101366_2_0
45,PMDA,Pyromellitic dianhydride,['PMDA'],j.progpolymsci.2021.101366_2_0
46,PN,Phenol novolac,['PN'],j.progpolymsci.2021.101366_2_0
47,POSS,Polyhedral oligomeric silsesquioxane,['POSS'],j.progpolymsci.2021.101366_2_0
48,PPA,Polyphosphamide,['PPA'],j.progpolymsci.2021.101366_2_0
49,rGO,Graphene,['rGO'],j.progpolymsci.2021.101366_2_0
50,SDR,Smoke density rate,['SDR'],j.progpolymsci.2021.101366_2_0
51,SEM,Scanning electron microscopy,['SEM'],j.progpolymsci.2021.101366_2_0
52,SPR,Smoke production release,['SPR'],j.progpolymsci.2021.101366_2_0
53,T2%,Temperature at which the thermoset undergoes 2 wt% of weight loss,['T(0.02)'],j.progpolymsci.2021.101366_2_0
54,T5%,Temperature at which the thermoset undergoes 5 wt% of weight loss,['T(0.05)'],j.progpolymsci.2021.101366_2_0
55,T10%,Temperature at which the thermoset undergoes 10 wt% of weight loss,['T(0.1)'],j.progpolymsci.2021.101366_2_0
56,TEPA,Tetraethylenepentamine,['TEPA'],j.progpolymsci.2021.101366_2_0
