,Samples,Curing agent,P (wt%),LOI (%),UL-94,Tg (°C),CY (%),Ref.,Vectors,Ref
0,DE-,DDS,2.49,30.0,0.0,124.0,18.7,53.0,"['DE', '']",j.progpolymsci.2021.101366_9_1
1,1,PN,2.23,27.0,0.0,117.0,20.7,,['1'],j.progpolymsci.2021.101366_9_1
2,DE-,DDS,4.5,32.0,0.0,254.0,32.0,54.0,"['DE', '']",j.progpolymsci.2021.101366_9_1
3,2,PN,4.8,34.0,0.0,181.0,37.0,,['2'],j.progpolymsci.2021.101366_9_1
4,,DICY,7.2,36.0,0.0,198.0,28.0,,[''],j.progpolymsci.2021.101366_9_1
5,DE-,DDS,2.89,32.0,0.0,/,/,55.0,"['DE', '']",j.progpolymsci.2021.101366_9_1
6,3,PN,2.89,32.0,0.0,/,,,['3'],j.progpolymsci.2021.101366_9_1
7,DE-4,DDS,2.2,/,0.0,143.0,27.5,56.0,['DE(4)'],j.progpolymsci.2021.101366_9_1
8,DE-5,DDS,2.24,/,0.0,140.0,27.8,56.0,['DE(5)'],j.progpolymsci.2021.101366_9_1
9,DE-,DDS,3.63,33.0,0.0,178.0,29.5,57.0,"['DE', '']",j.progpolymsci.2021.101366_9_1
10,6,PN,3.29,28.0,0.0,155.0,41.0,,['6'],j.progpolymsci.2021.101366_9_1
11,,DICY,3.83,38.0,0.0,169.0,27.9,,[''],j.progpolymsci.2021.101366_9_1
12,TGDDM + DPBAEP,DDS,0.5,33.4,0.0,244.0,4.2,58.0,['TGDDM+DPBAEP'],j.progpolymsci.2021.101366_9_1
