,Samples,"DGEBA amount [g] 027 ""_"",'""""_"""" ""_"",'""""_""""","DGEBA amount [mmol] 0725 ""_"",'""""_"""" ""_"",'""""_""""","D2000 amount [g. 067 ""_"",'""""_"""" ""_"",'""""_""""","D2000 amount mmol 086 ""_"",'""""_"""" ""_"",'""""_""""",Sn cage type none nan nan,Sn cage [g] none nan nan,Sn cage [mmol] none nan nan,toluene added with Sn [g] none nan nan,Vectors,Ref
0,1-Sn_0-n°,0.381,1.117,1.100,0.559,Sn 0,0.015,0.005,0.015,"['(1)Sn_0', 'n°']",ma500507j_3_0
1,4-Sn 0-n,0.127,0.3725,0.367,0.186,Sn 0,0.0206,0.007,0.02,['(4)Sn0-n'],ma500507j_3_0
2,10-Sn_0-n,0.115,0.337,0.332,0.169,Sn 0,0.0497,0.0178,0.05,['(10)Sn_0-n'],ma500507j_3_0
3,24-Sn 0-n,0.097,0.284,0.280,0.142,Sn 0,0.119,0.0428,0.12,['(24)Sn0-n'],ma500507j_3_0
4,24-Sn 0- pcAr,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""","""_"",'"""" """"",,,,,"['(24)Sn0', 'pcAr']",ma500507j_3_0
5,24-Sn 0-ox,"""_"",'""""_""""","""_"",'""""_""""","""_"",'"""" """"","""_"",'""""_""""",,,,,"['(24)Sn0', 'ox']",ma500507j_3_0
6,4-Sn2-n,0.120,0.352,0.332,0.169,Sn2,0.0405,0.0141,0.04,['(4)Sn2-n'],ma500507j_3_0
7,10-Sn2-n,0.110,0.323,0.286,0.145,Sn2,0.093,0.0323,0.093,['(10)Sn2-n'],ma500507j_3_0
8,10-Sn2-pcAr,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""",,,,,"['(10)Sn2', 'pcAr']",ma500507j_3_0
9,10-Sn2-ox,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""",,,,,"['(10)Sn2', 'ox']",ma500507j_3_0
10,25-Sn2-n,0.095,0.279,0.206,0.1045,Sn2,0.2,0.0697,0.2,['(25)Sn2-n'],ma500507j_3_0
11,25-Sn2-pcAr,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""",,,,,"['(25)Sn2', 'pcAr']",ma500507j_3_0
12,25-Sn2-ox,"""_"",'""""_""""","""_"",'""""_""""","""_"",'"""" """"","""_"",'""""_""""",,,,,"['(25)Sn2', 'ox']",ma500507j_3_0
13,10-Sn4n,0.125,0.367,0.325,0.165,Sn4,0.051,0.0183,0.051,['(10)Sn4n'],ma500507j_3_0
14,25-Sn4-n,0.115,0.337,0.249,0.1265,Sn4,0.117,0.0422,0.12,['(25)Sn4-n'],ma500507j_3_0
15,25-Sn4-pcAr,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""","""_"",'""""_""""",,,,,"['(25)Sn4', 'pcAr']",ma500507j_3_0
16,25-Sn4-ox,"""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""","""_"",'""""_""""",,,,,"['(25)Sn4', 'ox']",ma500507j_3_0
