,Samples,Phosphorus content (%),Nitrogen content (%),Aromatic content (%),Tg (°C),Vectors,Ref
0,D230/BE188,0.0,2.85,30.9,69.0,"['D230', 'BE188']",s0014-3057(01)00246-4_6_0
1,EDA/BE188,0.0,3.45,37.4,85.0,"['EDA', 'BE188']",s0014-3057(01)00246-4_6_0
2,PDA/BE188,0.0,3.74,50.8,112.0,"['PDA', 'BE188']",s0014-3057(01)00246-4_6_0
3,DDM/BE188,0.0,2.95,47.9,133.0,"['DDM', 'BE188']",s0014-3057(01)00246-4_6_0
4,D230/NPES-901,0.0,1.34,24.6,85.0,"['D230', 'NPES-901']",s0014-3057(01)00246-4_6_0
5,EDA/NPES-901,0.0,1.37,26.7,89.0,"['EDA', 'NPES-901']",s0014-3057(01)00246-4_6_0
6,PDA/NPES-901,0.0,1.67,24.6,100.0,"['PDA', 'NPES-901']",s0014-3057(01)00246-4_6_0
7,DDM/NPES-901,0.0,1.27,25.1,114.0,"['DDM', 'NPES-901']",s0014-3057(01)00246-4_6_0
8,DCPD230/BE188,2.58,4.2,26.6,45.0,"['DCPD230', 'BE188']",s0014-3057(01)00246-4_6_0
9,DCPPDA/BE188,2.77,4.51,53.0,91.0,"['DCPPDA', 'BE188']",s0014-3057(01)00246-4_6_0
10,PPDCD230/BE188,2.32,3.28,28.5,72.0,"['D230', 'BE188']",s0014-3057(01)00246-4_6_0
11,PPDCPDA/BE188,2.5,4.5,55.1,120.0,"['PPDCPDA', 'BE188']",s0014-3057(01)00246-4_6_0
12,DCPD230/NPES-901,1.38,2.26,20.7,68.0,"['DCPD230', 'NPES-901']",s0014-3057(01)00246-4_6_0
13,DCPPDA/NPES-901,3.18,3.12,36.8,94.0,"['DCPPDA', 'NPES-901']",s0014-3057(01)00246-4_6_0
14,PPDCD230/NPES-901,1.13,2.17,21.3,78.0,"['D230', 'NPES-901']",s0014-3057(01)00246-4_6_0
15,PPDCPDA/NPES-901,2.35,3.75,29.2,95.0,"['PPDCPDA', 'NPES-901']",s0014-3057(01)00246-4_6_0
16,D230/GDP,4.83,1.34,36.4,64.0,"['D230', 'GDP']",s0014-3057(01)00246-4_6_0
17,EDA/GDP,5.23,1.37,39.4,60.0,"['EDA', 'GDP']",s0014-3057(01)00246-4_6_0
18,PDA/GDP,4.8,1.67,36.2,79.0,"['PDA', 'GDP']",s0014-3057(01)00246-4_6_0
19,DDM/GDP,4.9,1.27,37.0,82.0,"['DDM', 'GDP']",s0014-3057(01)00246-4_6_0
20,DCPD230/GDP,5.44,2.26,30.6,61.0,"['DCPD230', 'GDP']",s0014-3057(01)00246-4_6_0
21,DCPPDA/GDP,6.19,3.12,39.6,62.0,"['DCPPDA', 'GDP']",s0014-3057(01)00246-4_6_0
22,PPDCD230/GDP,5.31,2.17,31.5,55.0,"['D230', 'GDP']",s0014-3057(01)00246-4_6_0
23,PPDCPDA/GDP,5.96,3.75,37.5,65.0,"['PPDCPDA', 'GDP']",s0014-3057(01)00246-4_6_0
24,D230/BE188/GDP(1:1),2.23,2.12,33.4,75.0,"['(230)', 'GDP(1:1188']",s0014-3057(01)00246-4_6_0
25,EDA/BE188/GDP(1:1),2.68,2.43,38.4,85.0,"['EDA(1)', 'BE188', 'GDP1']",s0014-3057(01)00246-4_6_0
26,PDA/BE188/GDP(1:1),2.2,2.78,48.2,109.0,"['PDA(1)', 'BE188', 'GDP1']",s0014-3057(01)00246-4_6_0
27,DDM/BE188/GDP(1:1)a,2.15,2.86,48.1,112.0,"['DDM1', 'BE188', 'GDP1']",s0014-3057(01)00246-4_6_0
28,D230/BE188/GDP(1:2)a,2.71,2.47,32.3,59.0,"['(230)', 'GDP(1:2188']",s0014-3057(01)00246-4_6_0
29,EDA/BE188/GDP(1:2)a,3.25,2.08,38.7,93.0,"['EDA(1)', 'BE188', 'GDP2']",s0014-3057(01)00246-4_6_0
30,PDA/BE188/GDP(1:2)a,2.86,2.43,47.4,101.0,"['PDA(1)', 'BE188', 'GDP2']",s0014-3057(01)00246-4_6_0
31,DDM/BE188/GDP(1:2)a,2.95,1.88,45.4,109.0,"['DDM1', 'BE188', 'GDP2']",s0014-3057(01)00246-4_6_0
