,Samples,Atomic C,concentration N (%),concentration o (%),C/O,Tin (°C),Tmax (°C),Tgs (°C),Log E' at - -25 °C (MPa),Log E' at 0 °C (MPa),Log E' at 25 °C (MPa),Contact angle (°),Surface energy (mJ/m²),Work of adhesion (mN m -¹,Contact angle (°)_err,Surface energy (mJ/m²)_err,Work of adhesion (mN m -¹_err,Tensile strength (MPa),Young's modulus (MPa),Elongation at break (%),Toughness (MPa),Tensile strength (MPa)_err,Young's modulus (MPa)_err,Elongation at break (%)_err,Toughness (MPa)_err,Vectors,Ref
0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,['(0.10)'],j.compositesb.2020.108075
1,GO,59.41,0.0,40.59,1.46,,,,,,,,,,,,,,,,,,,,,['GO'],j.compositesb.2020.108075
2,GO-HMD,83.11,4.17,12.72,6.53,,,,,,,,,,,,,,,,,,,,,"['GO', 'HMD']",j.compositesb.2020.108075
3,GO-NH3,76.92,7.58,15.5,4.96,,,,,,,,,,,,,,,,,,,,,['GO-NH3'],j.compositesb.2020.108075
4,GO-PPD,76.75,10.13,13.12,5.85,,,,,,,,,,,,,,,,,,,,,"['GO', 'PPD']",j.compositesb.2020.108075
5,TPU-0,,,,,306.2,407.5,59.5,2.14,1.9,1.34,87.0,20.2,76.6,1.4,1.0,1.7,8.6,2.2,618.0,32.0,0.5,0.1,15.0,1.2,['TPU(0)'],j.compositesb.2020.108075
6,TPU/GO 0.10,,,,,312.0,414.0,65.5,2.3,1.95,1.42,84.0,22.2,80.4,1.2,0.8,1.5,31.7,3.5,1010.0,166.7,1.5,0.1,35.0,2.5,"['TPU', 'GO(0.10)']",j.compositesb.2020.108075
7,TPU/GO-PPD,,,,,,,,,,,96.7,14.2,64.3,1.6,0.9,2.0,,,,,,,,,"['TPU', 'GO-PPD']",j.compositesb.2020.108075
8,TPU/GO- HMD 0.10,,,,,313.0,418.0,71.0,2.32,1.98,1.46,105.3,9.8,53.6,2.3,0.9,2.8,34.8,3.8,988.0,170.0,1.4,0.2,25.0,3.9,"['TPU', 'GO-HMD(0.10)']",j.compositesb.2020.108075
9,TPU/GO- NH3 0.10,,,,,318.6,419.0,70.2,2.35,2.03,1.48,90.7,17.7,71.9,1.9,1.1,2.4,40.2,4.9,1002.0,192.9,1.8,0.2,32.0,4.7,"['TPU', 'GO-NH3(0.10)']",j.compositesb.2020.108075
10,TPU/GO- PPD 0.10,,,,,313.5,421.0,67.8,2.4,2.07,1.53,,,,,,,41.1,5.4,942.0,183.9,1.7,0.2,27.0,5.2,"['TPU', 'GO-PPD(0.10)']",j.compositesb.2020.108075
