,Samples,O (MPa),E (GPa),K (kJ/m³),"E, (%)",Of (MPa),Ef (GPa),Etot (J),Ef (%),O (MPa)_err,E (GPa)_err,K (kJ/m³)_err,"E, (%)_err",Of (MPa)_err,Ef (GPa)_err,Etot (J)_err,Ef (%)_err,G (kJ/m²),ef (%),ILSS (MPa),G (kJ/m²)_err,ef (%)_err,ILSS (MPa)_err,Vectors,Ref
0,neat epoxy,55.3,1.68,1723.0,5.8,134.7,4.11,0.21,3.3,4.6,0.16,172.0,0.4,14.2,0.17,0.06,0.4,,,,,,,['EP'],j.compscitech.2018.10.013
1,0.1%fANFsEP,74.3,2.19,2516.0,6.3,154.1,3.63,0.49,4.3,11.5,0.1,588.0,0.7,6.7,0.19,0.07,0.3,,,,,,,['(0.001)fANFsEP'],j.compscitech.2018.10.013
2,0.2%fANFs/EP,76.1,2.04,2840.0,7.2,161.2,3.66,0.57,4.4,8.8,0.14,775.0,1.1,9.1,0.23,0.06,0.3,,,,,,,"['(0.002)fANFs', 'EP']",j.compscitech.2018.10.013
3,0.5%fANFs/EP,82.4,2.0,3152.0,7.2,164.5,3.71,0.65,4.5,7.5,0.19,660.0,0.9,8.6,0.17,0.16,0.4,,,,,,,"['(0.005)fANFs', 'EP']",j.compscitech.2018.10.013
4,1.0%fANFs/EP,87.7,2.0,3646.0,7.9,173.6,4.08,0.52,4.3,7.3,0.09,704.0,1.0,7.3,0.33,0.08,0.4,,,,,,,"['(0.01)fANFs', 'EP']",j.compscitech.2018.10.013
5,1.5%fANFs/EP,68.3,1.71,2548.0,7.5,154.0,3.71,0.5,4.2,5.2,0.12,326.0,0.7,12.8,0.12,0.1,0.3,,,,,,,"['(0.015)fANFs', 'EP']",j.compscitech.2018.10.013
6,0.1%fANFs/CF/EP,,156.19,,,1603.8,,2.22,,,5.19,,,34.6,,0.28,,3.61,1.0,64.4,0.58,0.0,2.6,"['(0.001)fANFs', 'CF', 'EP']",j.compscitech.2018.10.013
7,0.2%fANFs/CF/EP,,159.24,,,1631.1,,2.21,,,11.3,,,16.9,,0.21,,3.82,1.0,67.3,0.71,0.1,2.7,"['(0.002)fANFs', 'CF', 'EP']",j.compscitech.2018.10.013
8,0.5%fANFs/CF/EP,,159.77,,,1716.5,,2.45,,,5.46,,,48.8,,0.28,,4.21,1.1,68.8,0.7,0.0,1.8,"['(0.005)fANFs', 'CF', 'EP']",j.compscitech.2018.10.013
9,1.0%fANFs/CF/EP,,154.68,,,1808.6,,2.65,,,4.45,,,115.1,,0.3,,4.87,1.2,69.3,0.72,0.1,1.9,"['(0.01)fANFs', 'CF', 'EP']",j.compscitech.2018.10.013
10,1.5%fANFs/CF/EP,,151.38,,,1572.6,,2.17,,,5.8,,,25.0,,0.17,,3.77,1.0,62.5,0.51,0.0,1.4,"['(0.015)fANFs', 'CF', 'EP']",j.compscitech.2018.10.013
11,CF/EP,,158.17,,,1153.6,,1.61,,,5.87,,,77.0,,0.28,,2.24,0.7,50.4,0.52,0.1,3.6,"['CF', 'EP']",j.compscitech.2018.10.013
