,Samples,CS (MPa) (SD),Viscosity (cp),Ratio in liquid (wt%),CS (MPa) (SD)_err,Code,Peak temperature (°C),Curing time (min),Shrinkage (%),Peak temperature (°C)_err,Curing time (min)_err,Shrinkage (%)_err,Vectors,Ref
0,30/70 (BTTEMAT/TEGDMA),,,,,,31.1,3.8,4.0,0.4,0.3,0.29,"['BTTEMAT(0.3)', 'TEGDMA(0.7)']",j.eurpolymj.2004.03.005
1,35/6/47/12 (HA/SrF2/ZnO/SiO2),235.5,172.0,,7.3,A,,,,,,,"['HA(0.35)', 'SrF2(0.06)', 'ZnO(0.47)', 'SiO2(0.12)']",j.eurpolymj.2004.03.005
2,40/40/20 (BTTEMAT/TEGDMA/TMPTMA),,,,,,32.8,3.3,2.42,1.2,0.3,0.3,"['BTTEMAT(0.4)', 'TEGDMA(0.4)', 'TMPTMA(0.2)']",j.eurpolymj.2004.03.005
3,40/60 (BTTEMAT/EB-40),,,,,,37.0,3.8,0.57,0.7,0.5,0.21,"['BTTEMAT(0.4)', 'EB-40(0.6)']",j.eurpolymj.2004.03.005
4,40/60 (BTTEMAT/TEGDMA),,,,,,29.7,4.3,3.12,1.2,0.4,0.49,"['BTTEMAT(0.4)', 'TEGDMA(0.6)']",j.eurpolymj.2004.03.005
5,40/60 (BTTEMAT/TMPTMA),,,,,,32.7,4.3,2.55,0.6,0.3,0.36,"['BTTEMAT(0.4)', 'TMPTMA(0.6)']",j.eurpolymj.2004.03.005
6,47/6/35/12 (HA/SrF2/ZnO/SiO2),213.7,172.0,,10.1,D,,,,,,,"['HA(0.47)', 'SrF2(0.06)', 'ZnO(0.35)', 'SiO2(0.12)']",j.eurpolymj.2004.03.005
7,50,,,,,,49.2,5.3,4.54,2.0,0.8,0.33,['(50)'],j.eurpolymj.2004.03.005
8,67,,,,,,38.5,3.5,3.1,1.2,0.5,0.13,['(67)'],j.eurpolymj.2004.03.005
9,70/30 (BTTEMAT/TEGDMA),,,,,,26.6,8.3,2.06,0.5,0.8,0.33,"['BTTEMAT(0.7)', 'TEGDMA(0.3)']",j.eurpolymj.2004.03.005
10,75,,,,,,32.8,3.3,2.42,1.2,0.3,0.3,['(75)'],j.eurpolymj.2004.03.005
11,80,,,,,,28.4,7.5,2.21,0.7,0.4,0.25,['(80)'],j.eurpolymj.2004.03.005
12,BPTEMA/TEGDMA,184.8,151.0,,15.5,B,,,,,,,"['BPTEMA', 'TEGDMA']",j.eurpolymj.2004.03.005
13,BTTEMA/EB-40,183.0,799.0,40.0,12.5,,,,,,,,"['BTTEMA', 'EB-40']",j.eurpolymj.2004.03.005
14,BTTEMA/TEGDMA,249.0,51.0,40.0,14.0,,,,,,,,"['BTTEMA', 'TEGDMA']",j.eurpolymj.2004.03.005
15,BTTEMA/TEGDMA,235.5,172.0,,7.3,A,,,,,,,"['BTTEMA', 'TEGDMA']",j.eurpolymj.2004.03.005
16,BTTEMA/TEGDMA/EB-40,241.1,175.0,40.0,10.9,,,,,,,,"['BTTEMA', 'TEGDMA', 'EB-40']",j.eurpolymj.2004.03.005
17,BTTEMA/TEGDMA/EB-40,227.2,207.0,40.0,14.9,,,,,,,,"['BTTEMA', 'TEGDMA', 'EB-40']",j.eurpolymj.2004.03.005
18,BTTEMA/TEGDMA/EB-40,189.6,322.0,40.0,10.6,,,,,,,,"['BTTEMA', 'TEGDMA', 'EB-40']",j.eurpolymj.2004.03.005
19,BTTEMA/TEGDMA/TMPTMA,261.5,99.0,40.0,6.3,,,,,,,,"['BTTEMA', 'TEGDMA', 'TMPTMA']",j.eurpolymj.2004.03.005
20,BTTEMA/TEGDMA/TMPTMA,260.8,159.0,40.0,9.6,,,,,,,,"['BTTEMA', 'TEGDMA', 'TMPTMA']",j.eurpolymj.2004.03.005
21,BTTEMA/TEGDMA/TMPTMA,231.7,244.0,40.0,11.2,,,,,,,,"['BTTEMA', 'TEGDMA', 'TMPTMA']",j.eurpolymj.2004.03.005
22,BTTEMA/TMPTMA,216.0,610.0,40.0,16.0,,,,,,,,"['BTTEMA', 'TMPTMA']",j.eurpolymj.2004.03.005
23,"Filler level (%, by weight)",,,,,,,,,,,,"['Fillerlevel(%,byweight)']",j.eurpolymj.2004.03.005
24,IPTEMA/TEGDMA,199.4,84.0,,8.0,C,,,,,,,"['IPTEMA', 'TEGDMA']",j.eurpolymj.2004.03.005
25,Oligomer/diluent ratio (by weight)),,,,,,,,,,,,"['Oligomer', 'diluentratio(byweight)']",j.eurpolymj.2004.03.005
