,Samples,a-gel,tgel b (min),C ashrink,Pmon (g/cm³),Ppol (g/cm³),Shrink. d (%),Shrink. e after gel (%),CTEglass x 106 (k-1),CTErubber x 106 (k-1),D x 108 f (cm ²/s),DGEBA Xeq,DGEBA (wt%),MTHPA Xeq,MTHPA (wt%),BDMA Xeq,BDMA wt%,OH from Xeq,HBP (wt%),DSC (J/g),DSC ΔH (kJ/ee),DSC Tmax b (C),DSC Tgc (C),DMTA Ttans d (C),DMTA E'e (MPa),TGA T2% (C),TGA Tmax (°C),Vectors,Ref
0,DGEBA/MTHPA,,,,,,,,,,,1.0,50.0,1.0,50.0,0.0065,0.5,-,-,,,,,,,,,"['DGEBA', 'MTHPA']",j.eurpolymj.2010.04.015
1,DGEBA/MTHPA/0%,0.64,21.5,0.27,1.182,1.214,2.64,1.93,64.3,201.5,4.3,,,,,,,,,245.0,90.0,165.0,92.0,118.0,11.5,283.0,413.0,"['DGEBA', 'MTHPA', '(0.0)']",j.eurpolymj.2010.04.015
2,DGEBA/MTHPA/10%,0.67,20.6,0.43,1.18,1.208,2.32,1.32,61.7,190.1,2.4,0.9,44.8,1.11,45.2,0.0061,0.5,0.21,10.0,232.0,95.0,162.0,103.0,130.0,14.1,252.0,415.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
3,DGEBA/MTHPA/10%,0.67,20.6,0.43,1.18,1.208,2.32,1.32,61.7,190.1,2.4,0.9,44.8,1.11,45.2,0.0061,0.5,0.21,10.0,220.0,98.0,165.0,106.0,122.0,11.5,237.0,414.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
4,DGEBA/MTHPA/10%,0.67,20.6,0.43,1.18,1.208,2.32,1.32,61.7,190.1,2.4,0.77,41.2,1.3,48.8,0.0061,0.5,0.47,10.0,232.0,95.0,162.0,103.0,130.0,14.1,252.0,415.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
5,DGEBA/MTHPA/10%,0.67,20.6,0.43,1.18,1.208,2.32,1.32,61.7,190.1,2.4,0.77,41.2,1.3,48.8,0.0061,0.5,0.47,10.0,220.0,98.0,165.0,106.0,122.0,11.5,237.0,414.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
6,DGEBA/MTHPA/10%,0.69,22.1,0.46,1.184,1.198,1.1,0.59,28.0,178.4,0.9,0.9,44.8,1.11,45.2,0.0061,0.5,0.21,10.0,232.0,95.0,162.0,103.0,130.0,14.1,252.0,415.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
7,DGEBA/MTHPA/10%,0.69,22.1,0.46,1.184,1.198,1.1,0.59,28.0,178.4,0.9,0.9,44.8,1.11,45.2,0.0061,0.5,0.21,10.0,220.0,98.0,165.0,106.0,122.0,11.5,237.0,414.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
8,DGEBA/MTHPA/10%,0.69,22.1,0.46,1.184,1.198,1.1,0.59,28.0,178.4,0.9,0.77,41.2,1.3,48.8,0.0061,0.5,0.47,10.0,232.0,95.0,162.0,103.0,130.0,14.1,252.0,415.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
9,DGEBA/MTHPA/10%,0.69,22.1,0.46,1.184,1.198,1.1,0.59,28.0,178.4,0.9,0.77,41.2,1.3,48.8,0.0061,0.5,0.47,10.0,220.0,98.0,165.0,106.0,122.0,11.5,237.0,414.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015
