,Samples,Temperature (°C),Carbon (wt%),Oxygen (wt%),Phosphorus (wt%),P/C (%),P/O (%),Carbon (wt%)_err,Oxygen (wt%)_err,Phosphorus (wt%)_err,tign (s),PHRR (kW/m²),THR (MJ/m²),AMLR (g/s),ASEA (m²/kg),tign (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,AMLR (g/s)_err,ASEA (m²/kg)_err,Vectors,Ref
0,EP + 15% TPP,,,,,,,,,,21.0,504.0,114.0,18.0,783.0,1.0,128.0,5.0,9.0,163.0,"['EP', '(0.15)TPP']",j.eurpolymj.2013.06.009
1,EP + 15% TPP,,,,,,,,,,12.0,1959.0,128.0,52.0,971.0,2.0,101.0,1.0,1.0,111.0,"['EP', '(0.15)TPP']",j.eurpolymj.2013.06.009
2,EP + 15% TPPO,,,,,,,,,,34.0,1310.0,126.0,40.0,845.0,1.0,63.0,2.0,5.0,85.0,"['EP', '(0.15)TPPO']",j.eurpolymj.2013.06.009
3,EP + TPP,RT,79.2,20.3,0.5,0.6,2.5,2.7,2.5,0.2,,,,,,,,,,,"['EP', 'TPP']",j.eurpolymj.2013.06.009
4,EP + TPP,RT,82.3,17.0,0.6,0.8,5.9,0.6,0.5,0.1,,,,,,,,,,,"['EP', 'TPP']",j.eurpolymj.2013.06.009
5,EP + TPPO,RT,79.0,20.6,0.4,0.5,1.9,0.9,0.9,0.1,,,,,,,,,,,"['EP', 'TPPO']",j.eurpolymj.2013.06.009
6,PU + 15% TPP,,,,,,,,,,7.0,1255.0,116.0,29.0,525.0,1.0,63.0,19.0,11.0,36.0,"['PU', '(0.15)TPP']",j.eurpolymj.2013.06.009
7,PU + 15% TPP,,,,,,,,,,18.0,637.0,169.0,15.0,632.0,3.0,149.0,23.0,1.0,11.0,"['PU', '(0.15)TPP']",j.eurpolymj.2013.06.009
8,PU + 15% TPPO,,,,,,,,,,16.0,1324.0,130.0,24.0,999.0,1.0,23.0,9.0,3.0,31.0,"['PU', '(0.15)TPPO']",j.eurpolymj.2013.06.009
9,Polyurea,,,,,,,,,,12.0,1854.0,160.0,44.0,452.0,4.0,65.0,7.0,5.0,18.0,['Polyurea'],j.eurpolymj.2013.06.009
10,Epoxy,RT,82.2,17.8,,,,0.0,0.0,0.0,29.0,2467.0,164.0,47.0,753.0,3.0,150.0,9.0,2.0,34.0,['EP'],j.eurpolymj.2013.06.009
