,Samples,Type of resin cement,Brand,Manufacturer,Batch number,Mean (MPa),SD,Min,Max,Vectors,Ref
0,CSA-cb,,,,,3.42,1.47,1.5,6.65,"['CSA', 'cb']",j.ijadhadh.2012.10.012
1,CSA-cn,,,,,5.83,2.87,2.53,12.4,"['CSA', 'cn']",j.ijadhadh.2012.10.012
2,CSA-ob,,,,,4.96,3.28,1.08,13.09,"['CSA', 'ob']",j.ijadhadh.2012.10.012
3,CSA-pw,,,,,6.44,2.4,2.35,10.05,"['CSA', 'pw']",j.ijadhadh.2012.10.012
4,CSA-sc,,,,,4.25,2.74,1.95,7.73,"['CSA', 'sc']",j.ijadhadh.2012.10.012
5,"ED Primer 2.0 A: HEMA, 10-MDP, 5-NMSA, water, accelerator ED Primer 2.0 B: 5-NMSA, water, accelerator, sodium benzene sulfinate Paste A: 10-MDP, hydrophobic aromatic dimethacrylate, hydropholic aliphatic dimethacrylate, hyrdophilic dimetacrilate, silanated silica, photoinitiator, benzoyl peroxide Paste B: Hydrophobic aromatic dimethacrylate, hydropholic aliphatic dimethacrylate, hyrdophilic dimetacrylate, sodium aromatic sulfinate, accelerator, sodium fluoride, silanated barium glass",Conventional resin cement (PAN),Panavia F2.0,Kuraray,041320 Paste A: 00095A Paste B: 00498A ED Primer A:00301A ED Primer B: 00175,,,,,"['EDPrimer2.0A:HEMA,10', 'MDP,(5)', 'NMSA,water,acceleratorEDPrimer2.0B:5', 'NMSA,water,accelerator,sodiumbenzenesulfinatePasteA:(10)', 'MDP,hydrophobicaromaticdimethacrylate,hydropholicaliphaticdimethacrylate,hyrdophilicdimetacrilate,silanatedsilica,photoinitiator,benzoylperoxidePasteB:Hydrophobicaromaticdimethacrylate,hydropholicaliphaticdimethacrylate,hyrdophilicdimetacrylate,sodiumaromaticsulfinate,accelerator,sodiumfluoride,silanatedbariumglass']",j.ijadhadh.2012.10.012
6,PAN-cb,,,,,4.82,2.54,1.15,8.75,"['PAN', 'cb']",j.ijadhadh.2012.10.012
7,PAN-cn,,,,,9.84,4.88,3.2,17.9,"['PAN', 'cn']",j.ijadhadh.2012.10.012
8,PAN-ob,,,,,4.29,2.17,1.9,8.25,"['PAN', 'ob']",j.ijadhadh.2012.10.012
9,PAN-pw,,,,,5.82,2.5,2.8,10.7,"['PAN', 'pw']",j.ijadhadh.2012.10.012
10,PAN-sc,,,,,4.54,2.58,1.3,10.12,"['PAN', 'sc']",j.ijadhadh.2012.10.012
11,"Paste A: 10-MDP, bis-GMA, TEGMA, hydrophobic aromatic dimethacrylate, silanated barium glass filler, silanated colloidal silica, di-camphorquinone, benzoyl peroxide, Initiator Paste B: bis-GMA, hydrophobic aromatic dimethacrylate, Hydrophobic aliphatic dimethacrylate, silanated barium glass filler, silanated colloidal silica, surface treated sodium fluoride, accelerators, pigments",Self adhesive resin cement (CSA),Clearfil SA cement,"Kuraray, Osaka, Japan",009ADA,,,,,"['PasteA:(10)', 'MDP,bis', 'GMA,TEGMA,hydrophobicaromaticdimethacrylate,silanatedbariumglassfiller,silanatedcolloidalsilica,di', 'camphorquinone,benzoylperoxide,InitiatorPasteB:bis', 'GMA,hydrophobicaromaticdimethacrylate,Hydrophobicaliphaticdimethacrylate,silanatedbariumglassfiller,silanatedcolloidalsilica,surfacetreatedsodiumfluoride,accelerators,pigments']",j.ijadhadh.2012.10.012
